Name;Bootable;Encryption Type;Certification;Managed;Interface;Max Capacity;Included Software;Other Features;
datAshur PRO;{{yes}};AES 256-bit XTS Hardware Encryption;FIPS 140-2 Level 3;No;USB 3.0;64GB;;OS & Platform independent- software free;
diskAshur PRO²;{{Yes}};AES 256-bit XTS Hardware Encryption;FIPS 140-2[1];No;USB 3.1;5TB;;OS & Platform independent- software free;
SafeStick SuperSonic;{{no}};AES 256-bit CBC Hardware Encryption;CESG CCTM, FIPS 140-2[2];Optional (with SafeConsole);USB 2.0;8GB;;High transfer speeds, Inactivity lock;
IronKey S100;{{no}};AES 128-bit CBC Hardware Encryption;FIPS 140-2 Level 2;Enterprise Model only;USB 2.0;16GB;Identity Manager; Secure Sessions;;
IronKey S200;{{no}};AES 256-bit CBC Hardware Encryption;FIPS 140-2 Level 3;Enterprise Model only;USB 2.0;16GB;Identity Manager; Secure Sessions;;
IronKey D200;{{no}};AES 256-bit CBC Hardware Encryption;FIPS 140-2 Level 3;Enterprise Model only;USB 2.0;32GB;Identity Manager; Secure Sessions;;
CryptX2;{{yes}};AES 256-bit CBC Hardware Encryption;{{no}};{{no}};USB 2.0;64GB / Future Support for 4TB;No Software Required;ID Verify, Panic Mode, Upgradeable Firmware;
DataTraveler 5000;{{no}};AES 256-bit XTS Hardware Encryption;FIPS 140-2 Level 2[1];{{no}};USB 2.0;16GB;;Water resistant;
DataTraveler Locker+;{{no}};Hardware Encryption;{{no}};{{no}};USB 2.0;32GB;{{no}};;
DataTraveler Vault;{{no}};AES 256-bit Hardware Encryption;{{no}};{{no}};USB 2.0;32GB;DTVaultLock;Second unsecured partition;
DataTraveler Vault – Privacy Edition;{{no}};AES 256-bit Hardware Encryption;{{no}};;USB 2.0;32GB;;Waterproof to 4';
JumpDrive SecureII Plus;{{no}};Hardware;FIPS 140-2 ?;;USB 2.0;;;;
IronClad;{{yes}};AES 256-bit CBC Hardware Encryption;FIPS 140-2 Level 3;Yes;USB 2.0;16GB;;;
Cruzer Enterprise;{{no}};Hardware;FIPS 140-2 ?;{{yes}};USB 2.0;;;;
Store 'n' Go Corporate;{{no}};Hardware;FIPS 140-2 ?;;USB 2.0;;;;
Name;Bootable;Encryption Type;Certification;Managed;Interface;Max Capacity;Included Software;Other Features;
