License and version;FSF approval [31];GPL (v3) compatibility [32][33][34][35][36];OSI approval [37];Debian approval [38][39];Fedora approval [40];
Academic Free License;{{yes}};{{no}};{{yes}};{{no}};{{yes}};
Affero General Public License 3.0;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Apache License 1.x;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Apache License 2.0;{{yes}};{{partial|GPLv3 only}}[41];{{yes}};{{yes}};{{yes}};
Apple Public Source License 1.x;{{No}}[42];{{no}};{{yes}};{{no}};{{no}};
Apple Public Source License 2.0;{{yes}};{{no}};{{yes}};{{no}};{{yes}};
Artistic License 1.0;{{No}}[43];{{no}};{{yes}};{{yes}};{{no}};
Artistic License 2.0;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Beerware License;{{partial|see "informal license" section}}[44];{{partial|see "informal license" section}}[44];{{no}};{{no}};{{yes}}[45];
Original BSD license;{{yes}};{{no}};{{no}}[46];{{yes}};{{yes}};
Modified BSD license;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Boost Software License;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
CeCILL;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Common Development and Distribution License;{{yes}};{{maybe|GPLv3 (GPLv2 disputed)}}[47][48][49][50][51][52];{{yes}};{{yes}};{{yes}};
Common Public License;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Creative Commons Zero;{{yes}}[53];{{yes}}[53];{{maybe|not approved and not rejected}}[54];{{partial}}[55][56];{{yes}}[57];
Creative Commons BY-SA 4.0;{{yes}};{{partial|GPLv3}}[58];{{?}};{{yes}};{{?}};
Cryptix General License;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Eclipse Public License;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Educational Community License;{{yes}};{{yes}}[59];{{yes}};{{no}};{{yes}};
Eiffel Forum License 2;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
European Union Public Licence;{{yes}};{{yes}}[19];{{yes}};{{yes}};{{?}};
GNU Affero General Public License;{{yes}};{{yes}}[21][60];{{yes}};{{yes}};{{yes}};
GNU General Public License v2;{{yes}};{{no}}[61][62];{{yes}};{{yes}};{{yes}};
GNU General Public License v3;{{yes}};{{yes}}[63][62];{{yes}};{{yes}};{{yes}};
GNU Lesser General Public License;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
GNU Free Documentation License;{{yes}};{{no}}[64];{{yes}}[65];{{no}}[66];{{no}};
IBM Public License;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Intel Open Source License;{{yes}};{{yes}};{{yes}};{{no}};{{no}};
ISC license;{{yes}}[67];{{yes}};{{yes}};{{yes}};{{yes}};
LaTeX Project Public License;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Microsoft Public License;{{yes}};{{no}};{{yes}};{{no}};{{yes}};
Microsoft Reciprocal License;{{yes}};{{no}};{{yes}};{{no}};{{yes}};
MIT license / X11 license;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Mozilla Public License 1.1;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Mozilla Public License 2.0;{{yes}};{{yes}}[68][69];{{yes}};{{yes}};{{yes}};
NASA Open Source Agreement;{{no}};{{no}};{{yes}};{{?}};{{no}};
Netscape Public License;{{yes}};{{no}};{{no}};{{no}};{{yes}};
Open Software License;{{yes}};{{no}};{{yes}};{{no}};{{yes}};
OpenSSL license;{{yes}};{{no}};{{no}};{{yes}};{{yes}};
PHP License;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Python Software Foundation License 2.0.1; 2.1.1 and newer;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Q Public License;{{yes}};{{no}};{{yes}};{{no}};{{yes}};
Reciprocal Public License 1.5;{{no}};{{no}};{{yes}};{{no}};{{no}};
Sleepycat License;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Sun Industry Standards Source License;{{yes}};{{no}};{{yes}};{{no}};{{yes}};
Sun Public License;{{yes}};{{no}};{{yes}};{{no}};{{yes}};
Sybase Open Watcom Public License;{{no}};{{no}};{{yes}};{{no}};{{no}};
Unlicense;{{yes}}[70];{{yes}}[53];{{partial|while considered free not recommended}}[71];{{dunno}};{{yes}}[57];
W3C Software Notice and License;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Do What The Fuck You Want To Public License (WTFPL);{{yes}}[72];{{yes}};{{no}}[73];{{yes}};{{yes}};
XFree86 1.1 License;{{yes}};{{yes}}[74];{{no}};{{no}};{{no}};
zlib/libpng license;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Zope Public License 1.0;{{yes}};{{no}};{{no}};{{no}};{{yes}};
Zope Public License 2.0;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};
