Name;Frequency;Credit bureau;Full SSN required?;Scoring model;
AnnualCreditReport.com;Annual full official report (one from each agency) [3];Equifax, Experian, TransUnion[3];{{Bad|Yes}}[3];{{Bad|No score provided}};
CreditCards.com by Bankrate;Monthly full report[4];TransUnion[4];{{Good|Last 4 digits only}};{{Yes|VantageScore 3.0}}[4];
Credit.com;Monthly summary[5];Experian[5];{{Bad|Yes}}[5];{{Yes|VantageScore 3.0}}[6], Experian's National Equivalency Score[5];
Credit Journey by Chase;Weekly summary[7];TransUnion[7];{{Bad|Yes}}[7];{{Yes|VantageScore 3.0}}[7];
Credit Karma;Weekly full reports[8];TransUnion, Equifax[8];{{Good|Sometimes}}[9];{{Yes|VantageScore 3.0}}[6];
Credit Scorecard by Discover;Monthly summary[10];Experian;{{Bad|Yes}}[10];{{Yes|FICO 8}}[10];
Credit Sesame;Monthly summary[11];TransUnion[11];{{Good|Last 4 digits only}}[11];{{Yes|VantageScore 3.0}}[11];
CreditWise by Capital One;Weekly full report[12];TransUnion[12];{{Bad|Yes}}[12];{{Yes|VantageScore 3.0}}[12];
CreditWorks Basic by Experian;Monthly full report[13];Experian;{{Good|Last 4 digits only}}[13];{{Yes|FICO 8}}[13];
LendingTree;Monthly summary[14];TransUnion[14];{{Good|Last 4 digits only}}[14];{{Yes|VantageScore 3.0}}[6];
Mint by Intuit;Monthly summary[15];TransUnion[15];{{Bad|Yes}}[15];{{Yes|VantageScore 3.0}}[16];
MoneyLion;Monthly summary[17];TransUnion[14];{{Bad|Yes}}[14];{{Yes|VantageScore 3.0}}[6];
myBankrate;Monthly full report[18];TransUnion[18];{{Good|Last 4 digits only}};{{Yes|VantageScore 3.0}}[18];
MyCredit Guide by American Express;Weekly full report[19];TransUnion[19];{{Good|Last 4 digits only}};{{Yes|VantageScore 3.0}}[19];
NerdWallet;Weekly full report[20];TransUnion[20];{{Good|Last 4 digits only}}[20];{{Yes|VantageScore 3.0}}[20];
SavvyMoney;Monthly summary[21];TransUnion[21];{{Bad|Yes}}[21];{{Yes|VantageScore 3.0}}[21];
QLCredit;Biweekly full report[22];TransUnion[22];{{Bad|Yes}}[22];{{Yes|VantageScore 3.0}}[6];
Quizzle by Bankrate;Quarterly full report[23];TransUnion[23];{{Good|Last 4 digits only}}[23];{{Yes|VantageScore 3.0}}[6];
WalletHub;Daily full report[24];TransUnion[24];{{Good|Last 4 digits only}}[24];{{Yes|VantageScore 3.0}}[6];
