Software;Latest version;Latest release;Free to use;Free software{{efn|group=general|name=fs| Free software is essentially the same thing as open source, but with a more philosophical bent to its marketing material}};Software license;Windows;macOS;Linux;Android;iOS;
Agelong Tree;4.7;2015-12-04;{{no}} (40 Person Free Trial);{{no}};{{Proprietary}};{{yes}};{{no}};{{partial|Using Wine}};{{no}};{{no}};
Ahnenblatt;2.99c;2018-10-11;{{yes}};{{no}};{{Proprietary}};{{yes}};{{no}};{{partial|Using Wine}};{{no}};{{no}};
Ancestral Quest;v15.0.9;2017-07-05;{{yes}} (Basics version);{{no}};{{Proprietary}};{{yes}};{{yes}};{{partial|Using Wine}};{{no}};{{no}};
Ancestromania;2017.2.1.2.;;{{Yes}};{{Yes}};GNU GPL;{{Yes}};{{No}};{{Yes}};{{No}};{{No}};
Brother's Keeper;7.3.4;2018-12-11;{{yes}} (Unreg. ver.);{{no}};{{nonfree|Shareware}};{{yes}};{{no}};{{partial|Using Wine}};{{no}};{{no}};
Family Historian;6.2.7;2018-05-01;{{no}} (30-Day Free Trial);{{no}};{{Proprietary}};{{yes}};{{no}};{{partial|Using Wine}};{{no}};{{no}};
Family Tree Builder;8.0;2016-08-12;{{yes}} (Free ver.);{{no}};{{Proprietary}};{{yes}};{{yes}};{{partial|Using Wine}};{{yes}};{{yes}};
Family Tree Maker;2017 (23.0);2017-7-16;{{No}};{{no}};{{Proprietary}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Family Tree;1.2.1;2013-10-05;{{no}};{{no}};{{Proprietary}};{{no}};{{yes}};{{no}};{{dunno}};{{dunno}};
GEDitCOM II;2.3;2016-11-17;{{no}} (15-Day Free Trial, Read-Only afterwards);{{no}};{{Proprietary}};{{no}};{{yes}};{{no}};{{dunno}};{{yes}};
Genbox Family History;3.7.1;2007-11-17;{{no}} (30 Day Free Trial);{{no}};{{Proprietary}};{{yes}};{{no}};{{partial|Using Wine}};{{no}};{{no}};
GenealogyJ;3.0;2010-02-18;{{yes}};{{yes}};{{GPL-lic}};{{maybe|Java{{efn|group=general|name=java|Using Java Virtual Machine}} }};{{maybe|Java{{efn|name=java}} }};{{maybe|Java{{efn|name=java}} }};{{no}};{{no}};
GenEarth;1.4.1;2017-05-02;{{no}} (1-Week Free Trial, no limitation);{{no}};{{Proprietary}};{{Yes}} (Windows 10);{{no}};{{no}};{{no}};{{no}};
Genney;2.25;2018-01-05;{{no}} Demo-mode: Up to 100 persons with some functions disabled. More than 100 persons: Only view mode;{{no}};{{proprietary}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
GenoPro;2016, 3.0.0.7;2016-01-27;{{no}} (25 Person Free Trial);{{no}};{{Proprietary}};{{yes}};{{no}};{{partial|Using Wine}};{{no}};{{no}};
Gramps;5.0.0;2018-07-24;{{yes}};{{yes}};{{GPL-lic}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Heredis;2018;2018-01-30;{{no}} (50 Person Free Trial);{{no}};{{Proprietary}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
Kith and Kin Pro;3.2.5;2016-08-01;{{no}} (30-Day Free Trial);{{no}};{{nonfree|Shareware}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Legacy Family Tree;9.0.0.169;2017-05-02;{{yes}} (Standard Edition);{{No}};{{Proprietary}};{{yes}};{{no}};{{partial|Using Wine}};{{dunno}};{{dunno}};
LifeLines;3.1.1;2016-03-17;{{yes}};{{yes}};{{free|MIT License}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
MacFamilyTree;8.3.5;2018-04-24;{{no}} (Free Trial, but you cannot save or export your entries);{{no}};{{Proprietary}};{{no}};{{yes}};{{no}};{{no}};{{yes}};
My Family Tree;7.1.1.0;2017-05-31;{{yes}};{{no}};{{Proprietary}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Personal Ancestral File;5.2.18.0;2002-07-23 (discontinued 2014);{{yes}};{{no}};{{Proprietary}};{{yes}};{{no}};{{partial|Using Wine}};{{dunno}};{{dunno}};
Reunion;12.0 (build 80122);2018-01-22;{{no}} (Free demo, 50 person limit, no import/export, watermarked reports);{{no}};{{Proprietary}};{{no}};{{yes}};{{no}};{{no}};{{no}};
RootsMagic;7.5.6.0;2018-04-27;{{yes}} (Essentials);{{no}};{{Proprietary}};{{yes}};{{yes}};{{partial|Using Wine}};{{yes}};{{yes}};
The Master Genealogist;9.05.0000;2014-12-03 (Discontinued:2014-12-31);{{no}} (30 Day Free Trial);{{no}};{{Proprietary}};{{yes}};{{yes}};{{partial|Using Wine}};{{no}};{{no}};
