Name;Unicode Support;Single parent family;Same sex marriage;Witness to events;Name variants;Conflicting evidence;Source surety;Adoption & foster parent;non-standard calendar in date fields;
Agelong Tree;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};
Ahnenblatt;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{yes}};
Ancestral Quest;{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Brother's Keeper;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};
Family Historian;{{yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Family Tree Builder;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};
Family Tree Maker;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};
GEDitCOM II;{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Genbox Family History;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
GenealogyJ;{{yes}};{{dunno}};{{partial}} One partner's gender mislabelled;{{no}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};
GenEarth;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{yes}};{{yes}};
Genney;{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};
GenoPro;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Gramps;{{yes}};{{yes}};{{partial}} One partner's gender mislabelled[1];{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};
Heredis;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Legacy Family Tree{{ref label|b|b|b}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
LifeLines;{{yes}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
MacFamilyTree;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Personal Ancestral File;{{yes}};{{dunno}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Reunion;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};
RootsMagic;{{yes}};{{dunno}};{{yes}};{{yes}} (paid version);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
The Master Genealogist;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
