Name;English;Afrikaans;Danish;Dutch;French;German;Italian;Norwegian;Polish;Russian;Spanish;Swedish;
Agelong Tree{{ref label|a3|a|a}};{{Yes}};{{No}}{{ref label|b3|b|b}};{{No}}{{ref label|b3|b|b}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}}{{ref label|b3|b|b}};{{Yes}};{{Yes}};{{Yes}};{{No}}{{ref label|b3|b|b}};
Ahnenblatt{{ref label|c2|c|c}};{{Yes}};{{No}}{{ref label|b3|b|b}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Ancestral Quest{{ref label|d|d|d}};{{Yes}};{{No}}{{ref label|b3|b|b}};{{Yes}};{{No}}{{ref label|b3|b|b}};{{Yes}};{{Yes}};{{No}}{{ref label|b3|b|b}};{{Yes}};{{partial}};{{No}};{{Yes}};{{partial}};
Brother's Keeper;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}}{{ref label|b3|b|b}};{{Yes}};{{Yes}};{{Yes}};{{No}}{{ref label|b3|b|b}};{{Yes}};
Family Historian;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Family Tree Builder;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{yes}};{{Yes}};
Family Tree Maker (Windows);{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Family Tree Maker for Mac;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
GEDitCOM II;{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};
Genbox Family History{{ref label|f|f|f}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{partial}};{{Yes}};{{Yes}};{{partial}};{{partial}};
GenealogyJ;{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};
GenEarth;{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Genney;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};
GenoPro{{ref label|g|g|g}}{{ref label|h|h|h}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Gramps{{ref label|i|i|i}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Heredis;{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Legacy Family Tree;{{yes}}{{ref label|j|j|j}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{ref label|k|k|k}};{{no}};{{No}};{{yes| public test}};{{yes}};
LifeLines;{{Yes}};{{no}};{{Yes}};{{no}};{{Yes}};{{Yes}};{{no}};{{no}};{{no}};{{No}};{{no}};{{Yes}};
MacFamilyTree;{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Personal Ancestral File;{{Yes|(v4.x/5.x)}};{{No}};{{No}};{{No}};{{Yes|(v4.x)}};{{Yes|(v4.x/5.x)}};{{No}};{{No}};{{No}};{{No}};{{Yes|(v4.x)}};{{Yes|(v5.x)}};
Reunion{{ref label|l|l|l}};{{Yes}};{{No}};{{No}};{{Yes}}{{ref label|l|l|l}};{{Yes}}{{ref label|l|l|l}};{{Yes}}{{ref label|l|l|l}};{{No}};{{Yes}}{{ref label|l|l|l}};{{No}};{{No}};{{No}};{{No}};
RootsMagic;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
The Master Genealogist;{{yes}}{{ref label|n|n|n}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}};{{yes}};{{no}}{{ref label|g|g|g}};{{No}};{{no}}{{ref label|g|g|g}};{{yes}};
