Format;Full name;Owner;Based Format;File extension;MIME type;Application;Patented;
Abc;Advanced Bitonal Compression;LEAD Technologies;;.abc;;Bitonal document and check images.[1];{{No|Yes}};
ADRG;ARC Digitized Raster Graphics;;;.adrg;;;;
AdobeResource;;Adobe Systems;TIFF?;;;;;
ADRI;ARC Digitized Raster Images;;;.adri;;;;
AF Design;Affinity Designer;Serif Europe;;.afdesign;;Vector graphics document for Affinity Designer. Can also be opened by Affinity Photo.;;
AF Photo;Affinity Photo;Serif Europe;;.afphoto;;Raster graphics document for Affinity Photo. Can also be opened by Affinity Designer.;;
AI;Adobe Illustrator Document;Adobe Systems;;.ai;application/illustrator, application/postscript;Adobe Illustrator files are editable using programs that support the format, such as Adobe Illustrator, Inkscape, CorelDRAW, etc.;{{No|Yes}};
Alias Pix image;;;;.pix, .matte, .mask, .alpha, .als;;Supported by GIMP;;
AMI;;;;.ami;;Supported by Amica Paint;;
ANI;ANI file format;Microsoft;RIFF;.ani;;Used by Microsoft Windows;;
ANIM;;Electronic Arts and Commodore Amiga;IFF;.iff, .anim;video/x-anim;;;
APNG;Animated Portable Network Graphics;Mozilla;PNG;.png;image/png;1.9 and Opera;{{Yes|No}};
Apple Icon Image;;Apple Inc.;;.icns;;Used by macOS;;
APX;;;;.apx;;Supported by Ebuyer Photo Paint;;
ART;;AOL;;.art;;;;
ART;PFS: 1st Publisher clip art;;;.art;;;;
ARTB;Artboard file format;Mapdiva, LLC;;.artb;;Vector image format; Artboard drawing files are editable using programs that support the format, such as Artboard and Ortelius;;
ASCII art;;;;.txt, .ansi, .text;text/vnd.ascii-art;Supported by GIMP;;
Authorware map;;Adobe Systems;;.aam;application/x-authorware-map;;;
Authorware seg;;Adobe Systems;;.aas;application/x-authorware-seg;;;
Authorware bin;;Adobe Systems;;.aab, .x32, .u32, .vox;application/x-authorware-bin;;;
AutoCAD DXF;Drawing Interchange Format;Autodesk;;.dxf;image/vnd.dxf;;;
AWD;;;;.awd;image/awd;Used by PhotoPhilia;;
ARW;Sony Alpha RAW;Sony;TIFF;.arw;;;;
BAY;Casio RAW;Casio;;.bay;;;;
BigTIFF;;;TIFF;.btf, .tiff, .tif;image/tiff;;;
BMP;raw-data unencoded or encoded bitmap;simple colour image format, far older than Microsoft; some .bmp encoding formats developed/owned by Microsoft;;.bmp, .dib, .rle, .2bp (2bpp);image/x-bmp;Used by many 2D applications.;{{Yes|No}};
bmp compressor;Bit Map Compressor;;;.hpc;;;;
BLEND;resource archive (3D meshes, textures, auxiliary data);;;.blend;;native data package format of Blender;;
BPG;Better Portable Graphics;Fabrice Bellard;HEVC;.bpg;;Suggestion to replace JPEG, JavaScript decoder available[2];{{No|Yes}};
BRK;Brooktrout Fax;;;.brk;;;;
BSAVE;BSAVE Image;;;.BSV;;Used by IBM PC.;;
CAM;Casio CAM;Casio;JPEG;.cam;;;;
CADRG;Compressed ARC Digitized Raster Graphics;;;.cadrg;;;;
CAL;CALS raster file format;;;.cal, .cals, .ras, .dcl;;;;
Capture One RAW;;Phase One;;.cap;;;;
CIFF;Camera Image File Format;Canon;;.crw, .ciff;;;;
CR2;Canon RAW 2;Canon;TIFF;.cr2;;;;
CDR;CorelDRAW Document;Corel Corporation;;.cdr, .ccx, .cdt, .cmx;application/coreldraw;CorelDRAW files are editable using programs that support the format, such as CorelDRAW, Adobe Illustrator, Inkscape, etc.;{{No|Yes}};
CGM;Computer Graphics Metafile;;;.cgm;image/cgm;CGM files are editable using programs that support the format, such as IBM Lotus Freelance Graphics, Inkscape, etc.;;
