Format;Compression algorithm;Raster/ vector;Color depth;Indexed color;Transparency;Metadata;Interlacing;Multi-page;Animation;Layers;Color management;Extend­able;HDR format;
AI;Lossy and lossless;{{yes|Both}};1, 8, 24, and 32 (possibly with multiple palettes);{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{unk}};{{no}};
BMP;None, RLE, JPEG, and PNG;{{partial|Raster}};1, 4, 8, 16, 24, 32, and 64;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
BPG;HEVC, Lossy and lossless;{{partial|Raster}};8 to 14 bits per channel;{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{unk}};{{yes}};{{unk}};{{unk}};
CDR;Lossy and lossless;{{yes|Both}};1, 8, 24,and 32 (multiple palettes);{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{unk}};{{no}};
CPC;CPC;{{partial|Raster}};1;{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}}, via embedded dictionary;{{no}};
EPS;None, LZW, DEFLATE, RLE, DCT;{{yes|Both}};Device specific;{{no}};{{yes}};{{yes}};{{n/a}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
EXR;None, RLE, ZIP, Piz, PXR24, and B44, B44A, DWAA, DWAB;{{partial|Raster}};16–128 (floating-point);{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
Farbfeld;None;{{partial|Raster}};64 (16-bits-per-channel);{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
FLIF;Lossless, MANIAC entropy coding;{{partial|Raster}};1 to 16 bits per channel;{{yes}};{{yes}};{{yes}};{{yes}}, Adam?;{{no}};{{yes}};{{no}};{{yes}};{{yes}}, via chunks;{{yes}}, with suitable color profile;
GIF;LZW;{{partial|Raster}};Indexed (1bpc to 8bpc) and grayscale (8bpc);{{yes}};{{yes}}; 1bpp plane-only mask using color index;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}} (GIF89a);{{no}};
HD Photo / JPEG XR;Lossy and lossless bi-orthogonal transform;{{partial|Raster}};1, 2, 8, 16, 24, 32, 48, 64, and 128 (floating-point);{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};
ILBM;Optional run-length encoding;{{partial|Raster}};1, 2, 4, 8, 16, 32, 64, 64 EHB, 128, 256 (8-bit), 4,096 (HAM6 pseudo 12-bit), 4,096 pure 12-bit, 262, 144 (HAM8 pseudo 18-bit), and 24-bit;{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}}, Palette-shifting;{{no}};{{no}};{{yes}};{{no}};
IMA;Lossy and lossless original mutiresolution analysis transformation;{{partial|Raster}};8-bit, 16-bit integer, 32-bit floating-point;{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};
JPEG;Lossy (and partly lossless), DCT, RLE, and Huffman predictive nearest neighbor;{{partial|Raster}};8-bit (greyscale), 12-bit, and 24-bit;{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}} (see unofficial JPEG-HDR);
JPEG 2000;Lossy and lossless (DWT);{{partial|Raster}};8 and 16 (greyscale) with possibly color up to 48-bit;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{unk}};{{no}};
KRA;None;{{yes|Both}};grayscale, RGB, XYZ (8bpc, 16bpc, float16bpc, float32bpc), CMYK, L*a*b* and YCbCr (8bpc, 16bpc, float32bpc);{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
ORA;Lossless;{{yes|Both}};1, 2, 4, 8, 16, 24, 32, 48, and 64;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
PAM;None;{{partial|Raster}};Up to 16;{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};
PCX;None, RLE;{{partial|Raster}};1, 2, 4, 8, 24 and 32;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
PGF;Lossy and lossless (DWT);{{partial|Raster}};grayscale: 1, 8, 16, 31; RGB: 12, 16, 24, 32, and 48;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{no}};
PICT;None, RLE, and QuickTime;{{yes|Both}};1, 2, 4, 8, 16, 24, and 32;{{yes}};{{yes}};{{yes}};{{unk}};{{no}};{{no}};{{no}};{{unk}};{{no}}?;{{no}};
PLD;Optional ZIP, JPEG;{{yes|Both}};1, 4, 8, 16, 24, 32, 48, and 64;{{unk}};{{yes}};{{yes}};{{unk}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
PNG;Lossless and DEFLATE;{{partial|Raster}};bitmap (1bpc), indexed (8bpc), grayscale and RGB (8bpc, 16bpc);{{yes}};{{yes}}; indexed, grayscale and RGB;{{yes}};{{yes}}, Adam7 algorithm;{{no}};{{no}} (but see MNG and APNG);{{no}};{{yes}};{{yes}}, via chunks;{{no}}, see discussion;
PPM;None;{{partial|Raster}};Up to 16;{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
PSD and PSB;None and RLE;{{yes|Both}};bitmap (1bpc), duotone, indexed (8bpc), grayscale, RGB, CMYK, Lab and multichannel (8bpc, 16bpc, 32bpc);{{yes}};{{yes}}; indexed, grayscale, RGB, CMYK and Lab;{{yes}};{{n/a}};{{no}};{{yes}};{{Yes}};{{Yes}};{{no}}?;{{yes}};
PSP;None;{{yes|Both}};1, 2, 8, 16, 24, 32, and 48;{{yes}};{{yes}}; 8b and 16b per-pixel alpha channel;{{yes}};{{no}};{{unk}};{{no}};{{yes}};{{unk}};{{unk}};{{no}};
SVG;None and lossless gzip;{{partial|Vector}}[9];RGB (8bpc);{{no}};{{yes}};{{yes}};{{n/a}};{{partial|Yes}} (1.2 draft)[10];{{partial|Yes}} (SMIL/SVG);{{yes}};{{yes}}[11];{{yes}}, XML based;{{n/a}};
TGA;None, RLE, and other;{{partial|Raster}};1, 2, 4, 8, 16, 24, and 32;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{unk}};{{no}};
TIFF;None, LZW, RLE, ZIP, and other;{{yes|Both}};1, 2, 4, 8, 16, 24, and 32;{{yes}} (1–8 bit modes);{{yes}};{{yes}};{{yes}}, for JPEG compression;{{yes}};{{no}};{{yes}};{{yes}};{{yes}}, via tags;{{yes}}, TIFF float;
WebP;Lossy and lossless;{{partial|Raster}};YUV420P (12bpp), YUVA420P (20bpp) and RGB (8bpc);{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};
XAML;None;{{partial|Vector}};32 and 64;{{no}};{{yes}};{{yes}};{{n/a}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
XCF;None and lossless (gzip, bzip2 and xz);{{yes|Both}};indexed (8bpc), grayscale and RGB (8bpc, 16bpc, float16bpc, 32bpc, float32bpc, float64bpc);{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Format;Compression algorithm;Raster/ vector;Color depth;Indexed color;Transparency;Metadata;Interlacing;Multi-page;Animation;Layers;Color management;Extend­able;HDR format;
