;Manufacturer;First public release date;Product line;Launch price (USD);Units sold;
Atari Lynx;Atari;{{dts|1989|10|11|format=dmy}}[1];Atari Lynx;${{nts|189}}[1];{{nts|3000000}};
Atari Lynx II;Atari;{{dts|1991|}};Atari Lynx;${{nts|179}};{{nts|500000}}[1];
Dingoo A320;Dingoo Digital Technology;{{dts|2009}};Dingoo;${{nts|82.80}};{{nts|1000000}};
Epoch Game Pocket Computer;Epoch Co.;{{dts|1984}};Epoch Game Pocket Computer;;;
Gamate;Bit Corporation;{{dts|1990}};Gamate;;;
GameKing;Timetop;{{dts|2003}};GameKing;${{nts|10}}–20 (depending on retailer's subsidies and special offers);;
GameKing II;Timetop;{{dts|2004}};GameKing;${{nts|15}}–30 (depending on retailer's subsidies and special offers);;
Game Boy;Nintendo;{{dts|1989|04|21|format=dmy}};Game Boy line;$89.99 [2];{{nts|70000000}}{{Citation needed|date=March 2008}};
Game Boy Advance;Nintendo;{{dts|2001|03|21|format=dmy}};Game Boy line;${{nts|100}};{{nts|37700000}}[3];
Game Boy Advance SP;Nintendo;{{dts|2003|02|14|format=dmy}};Game Boy line;${{nts|99.99}};{{nts|43020000}}[3];
Game Boy Advance SP (backlit model);Nintendo;{{dts|2005|09|13|format=dmy}};Game Boy line;${{nts|79}};;
Game Boy Color;Nintendo;{{dts|1998|10|21|format=dmy}};Game Boy line;$69.99[2];{{nts|48600000}}{{Citation needed|date=July 2011}};
Game Boy Light;Nintendo;{{dts|1997}} (Japan only);Game Boy line;;;
Game Boy Micro;Nintendo;{{dts|2005|09|13|format=dmy}};Game Boy line;${{nts|99}};{{nts|2500000}}[1];
Game Boy Pocket;Nintendo;{{dts|1996}};Game Boy line;${{nts|59}}[2]{{Failed verification|date=April 2008}};;
Game.com;Tiger Electronics;{{dts|1997|09}}[1];Game.com;${{nts|59}}–69[4];{{nts|300000}}[1];
GCW Zero;Game Consoles Worldwide;{{dts|2013|03}};GCW;${{nts|150}};;
Gizmondo;Tiger Telematics;{{dts|2005}}[1];Gizmondo;${{nts|229}}–400 (depending on advertising subsidies)[1];{{nts|25000}}[1];
GP2X;GamePark Holdings;{{dts|2005|11|09|format=dmy}};GP2X;${{nts|185}};{{nts|60000}}[5] (inc. GP2X F200 sales);
GP2X F200;GamePark Holdings;{{dts|2007|10|30|format=dmy}}[6];GP2X;${{nts|169}}[5];{{nts|60000}}[5] (inc. original GP2X sales);
GP2X Wiz;GamePark Holdings;{{dts|2009|05|13|format=dmy}};GP2X;${{nts|179}};;
GP2X Caanoo;GamePark Holdings;{{dts|2010|08|16|format=dmy}}[7];GP2X;${{nts|150}};;
GP32;Game Park;{{dts|2001|11|23|format=dmy}};GP32;${{nts|239}};{{nts|30000}}[8];
GPD Win;GamePad Digital;{{dts|October 2016}};GPD Win;${{nts|350}}–400[9][10];
GPD Win 2;GamePad Digital;{{dts|May 2018}};GPD Win;${{nts|649}}-899 (pre-order, and tentative release prices);
Mega Duck/Cougar Boy;Creatonic, Videojet, and Timlex;{{dts|1993}};Mega Duck/Cougar Boy;${{nts|50}};;
Microvision;Milton Bradley Company;{{dts|1979|10}};Microvision;${{nts|49.99}};;
Mi2;Planet interactive;{{dts|2009|10}};Pocket Dream Console;€{{nts|70}};;
Neo Geo Pocket;SNK Playmore;{{dts|1998}}[1];Neo Geo;${{nts|69}}[1][11];;
Neo Geo Pocket Color;SNK Playmore;{{dts|1999|03|16|format=dmy}}[1];Neo Geo;${{nts|69}}[11];;
Neo Geo X;SNK Playmore;{{dts|2012|12|18|format=dmy}}[1];Neo Geo;${{nts|199}};;
Nintendo DS;Nintendo;{{dts|2004|11|21|format=dmy}};Nintendo DS;${{nts|149.99}};{{nts|18820000}}[3];
Nintendo DS Lite;Nintendo;{{dts|2006|03|02|format=dmy}};Nintendo DS;${{nts|129.99}};{{nts|84,490,000}}[3];
Nintendo DSi;Nintendo;{{dts|2008|11|01|format=dmy}}[12];Nintendo DS;${{nts|169}}[13];{{nts|16,430,000}}[14];
Nintendo 3DS;Nintendo;{{dts|2011|02|26|format=dmy}}[15];Nintendo DS;${{nts|249.99}}[16];{{nts|72890000}} (as of June 2018)[17];
Nintendo Switch;Nintendo;3 March 2017;Nintendo Switch;$299.99;{{nts|19670000}} (as of June 2018)[17];
Nintendo 2DS;Nintendo;12 October 2013;Nintendo DS;$79.99;;
Nintendo 2DS XL;Nintendo;{{Dts|2017|6|15}};Nintendo DS;;;
N-Gage;Nokia;{{dts|2003|10|07|format=dmy}};N-Gage;${{nts|299}}[1];{{nts|3000000}}[1];
N-Gage QD;Nokia;{{dts|2004|07|27|format=dmy}};N-Gage;${{nts|0}}–245 (depending on cell provider subsidies);;
Pandora;OpenPandora;{{dts|2010|05|22|format=dmy}};Pandora;${{nts|349}}[18] (1st and 2nd batch) Rebirth edition: €370 (€440 incl. VAT);{{nts|7500}}[19];
PlayStation Portable;Sony Computer Entertainment;{{dts|2004|12|12|format=dmy}};PlayStation;${{nts|249.99}};{{nts|51,260,000}}[1];
PlayStation Portable Slim and Lite;Sony Computer Entertainment;{{dts|2007|09|05|format=dmy}};PlayStation;${{nts|199.99}};;
PlayStation Vita;Sony Computer Entertainment;{{dts|2011|12|17|format=dmy}};PlayStation;${{nts|299.99}} Wi-Fi+3G $249.99 Wi-Fi Only;{{nts|4000000}} (as of 2015);
PocketFami;GameTech;{{dts|2004}};PocketFami;${{nts|80}};;
Sega Game Gear;Sega;{{dts|1990|10|06|format=dmy}};Sega Game Gear;${{nts|150}}[1];{{nts|11000000}}[1];
Sega Nomad;Sega;{{dts|1995}}[1];Sega Nomad;${{nts|180}}[1];{{nts|1000000}}[1];
SwanCrystal;Bandai;{{dts|2002|11|16|format=dmy}};WonderSwan;${{nts|65}};;
Tapwave Zodiac;Tapwave;{{dts|2003|11|01|format=dmy}};Tapwave Zodiac;${{nts|300}}–400 (depending on configuration);{{nts|200000}}[1];
TurboExpress;NEC;{{dts|1990}}[1];TurboExpress;${{nts|349}}[1];{{nts|1500000}}[1];
VG Pocket;Pelican Accessories;{{dts|2006|08}};VG Pocket;${{nts|39.99}};;
Watara Supervision;Watara;{{dts|1992}};Supervision;${{nts|50}}[20];;
WonderSwan;Bandai;{{dts|1999|03|04|format=dmy}}[21];WonderSwan;;;
WonderSwan Color;Bandai;{{dts|2000|12|30|format=dmy}};WonderSwan;${{nts|65}};;
Xperia PLAY;Sony Ericsson;{{Dts|2011|4|1}};Xperia;;;
