;GUI;Console;Software license;Latest stable version;Latest release date;Windows;Macintosh;Linux;
beye;{{No}};{{Yes}};{{free|GPL}};6.1.0;{{Dts|2009|December|12}};{{yes}};{{yes}};{{yes}};
bvi;{{No}};{{Yes}};{{free|GPL}};1.4.0;{{Dts|2014|October|07}};DOS, Win95 and up;{{yes}};{{yes}};
Cheat Engine;{{Yes}};{{No}};{{free|APL}};6.8.1;{{Dts|2018|06|23}};{{yes}};{{Yes}}, ver. 6.2;{{no}};
GNU Emacs;{{Yes}};{{Yes}};{{free|GPL}};25.2[1];{{Dts|2017|4|25}};{{yes}};{{yes}};{{yes}};
FlexHex;{{Yes}};{{No}};{{Proprietary}} (Freeware);2.7;{{Dts|2018|October|12}};Windows XP and up;{{no}};{{no}};
Frhed (Free Hex Editor);{{Yes}};{{No}};{{free|GPL}};1.7.1;{{Dts|2009|July|30}};Win98 and up;{{no}};{{no}};
Hiew;{{No}};{{Yes}};{{Proprietary}};8.52;{{Dts|2016|October|06}};{{yes}};{{no}};{{no}};
HxD;{{Yes}};{{No}};{{Proprietary}} (Freeware);2.1;{{Dts|2018|September|27}};Win95, WinNT4 and up;{{no}};{{no}};
VEDIT;{{Yes}};{{Yes}};{{Proprietary}};6.24.2;{{Dts|2015|Jan|1}};{{yes}};{{no}};{{no}};
UltraEdit;{{Yes}};{{No}};{{Proprietary}};23.20 (Windows) 16.1 (Linux / Mac OS X);{{Dts|2016|07|05}};{{yes}};{{yes}};{{yes}};
WinHex;{{Yes}};{{No}};{{Proprietary}};19.5;{{Dts|2017|11|27}};Win95 and up;{{no}};{{no}};
