Client;Publisher;First public release;Type;Latest stable version;License;
Adium;Adam Iser, Evan Schoenberg;2001-09;Multi-protocol;{{Latest stable software release/Adium}};{{free|GPLv2}};
aMSN;The aMSN team;2002-05;Single-protocol;0.98.4;{{free|GPL}};
AOL Instant Messenger (AIM);AOL;1997-05;Single-protocol;{{Latest stable software release/AOL Instant Messenger}};{{Terminated|Discontinued}} (was freeware);
AstraChat;Rockliffe System Inc;2014-09;Single-protocol;1.71.41 ({{Start date and age|2018|Oct|31}});{{free|Proprietary}};
Ayttm;Colin Leroy and Philip Tellis;2003-04;Multi-protocol;Linux: 0.6.3 (10 Jul 2010) Windows: 0.4.6-17;{{free|GPL}};
BlackBerry Messenger (BBM);BlackBerry Limited;2006;Single-protocol;{{Latest stable software release/BlackBerry Messenger (BBM)}};{{proprietary|Freeware}};
BitlBee;Wilmer van der Gaast;2002-08-09;Multi-protocol IRC gateway;{{Latest stable software release/BitlBee}};{{free|GPL}};
Bombus;Eugene Stahov;2005-01-05;Single-protocol;v0.6 ({{Start date and age|2008}});{{free|GPL}};
Centericq;Konstantin Klyagin;1999;Multi-protocol;{{Latest stable software release/Centericq}};{{free|GPL}};
Coccinella;Mats Bengtsson;1999-12-01;Single-protocol;0.96.16 ({{Start date and age|2009|12|01}});{{free|GPLv3}};
Discord;Discord Inc.;2015-03-06;Single-protocol;03.30.2017; ({{Start date and age|2017|03|30}});{{proprietary|Freeware}};
eBuddy;Paulo Taylor;2003-03-09;Multi-protocol;{{Start date and age|2011}};{{proprietary|Freeware}};
emesene;Luis Mariano Guerra;2006-05-24;Multi-protocol;2.12.5;{{free|GPL}};
Empathy;The GNOME Project;2007-05;Multi-protocol;{{Latest stable software release/Empathy (software)}};{{free|GPL}};
Facebook Messenger;Facebook, Inc.;2011-08-09;Single-protocol;;{{proprietary|Freeware}};
FaceTime;Apple Inc.;2010-06-24 for iOS; 2011-02-24 for macOS:;Single-protocol;iOS: 10.3.3 (stable), {{Start date and age|2017|07|19}} macOS: 4.0 (3080), {{Start date and age|2017|07|24}};{{Included|Part of macOS or iOS}};
Fire;Eric Peyton;1999-04-01;Multi-protocol;{{Latest stable software release/Fire}};{{free|GPL}};
Firetalk;Multitude Communications;1997 -2001;voice/music chat program;;{{free|GPL}};
Flock;Riva FZC;September 2014;Single-protocol;iOS: v2.28.5, Android: v4.5, OS X: v2.2.144, Windows: v2.2.x, Web: v2.2.x;{{proprietary|Freemium}};
Gadu-Gadu;?ukasz Foltyn / GG Network S.A.;2000-08-15;Single-protocol;Modern UI: 2.0.0.179 Desktop: 12.0.49.11103 ({{Start date and age|2013|12|13}});{{proprietary|Freeware}};
Gajim;Yann Le Boulanger;2004-05-21;Single-protocol;{{Latest stable software release/Gajim}};{{free|GPL}};
Google Allo;Google, Inc.;2016-09-21;Single-protocol;{{Latest stable software release/Google Allo}};{{proprietary|Freeware}};
Google Hangouts;Google, Inc.;2013-05-15;Single-protocol;;{{proprietary|Freeware}};
Hookt;Hookt, Inc.;2011-09-14;Single-protocol;;{{proprietary|Freeware}};
Hike;Bharti SoftBank;2012-12-12;Single-protocol;3.2.0 {{small|(Android, {{start date and age|2014|8|12}})}}[2] 2.6.2.0 {{small|(Windows Phone, {{release date and age|2014|07|23}})}}[3] 2.6.2 {{small|(BlackBerry, {{release date and age|2014|05|07}})}}[4] 2.6.0 {{small|(iOS, {{release date and age|2014|8|12}})}}[5] 2.6.0 {{small|(Symbian)}};{{proprietary|Freeware}};
IBM Lotus Sametime;IBM, Ubique;1998;Multi-protocol — proprietary T.120, SIP, XMPP;9.0.0 ({{Start date and age|2013|09|20}});{{proprietary|Proprietary commercial software}};
iChat;Apple Inc.;2002-08;Multi-protocol;6.0.1 (1002) ({{Start date and age|2012|02|01}}), replaced by Messages;{{included|Part of macOS}};
ICQ;Mail.Ru;1996-11;Single-protocol;8.0.5977 ({{Start date and age|2016|01|14}});{{free|Apache license}};
IMVU;Will Harvey;2001-07;Multiple-protocol;3.0;{{proprietary|Freemium}};
Instantbird;Florian Quèze;2007;Multi-protocol;{{Latest stable software release/Instantbird}};{{free|GPLv2}};
Jitsi;Emil Ivov;2003;Multi-protocol;{{Latest stable software release/Jitsi}};{{free|LGPL}};
Kadu;Kadu Team;2001-08;Multi-protocol;4.1 ({{Start date and age|2016|12|02}});{{free|GPLv2}};
KakaoTalk;Kakao Corp.;2010-03-18;single-protocol;iOS: 5+ Android: 4+ Windows Phone: 2+ BlackBerry: 3+ Windows 8;{{proprietary|Freeware}};
Kik Messenger;Kik Interactive;2010-10;Single-protocol;6.2;{{proprietary|Freeware}};
Kopete;Kopete Team;2002-03-03;Multi-protocol;{{Latest stable software release/Kopete}};{{free|GPL}};
Libon;Orange S.A.;2012-11-21;;;{{proprietary|Freemium}};
Line;LINE Corporation;2011;Single-protocol;iOS: 3.8.2 Android: 3.8.5 Windows Phone: 2.6.0.137 BlackBerry: 1.8.23 Windows: 5.8.1706;{{proprietary|Freemium}};
MCabber;Mikael Berthe;2005-06-07;Single-protocol;{{Latest stable software release/MCabber}};{{free|GPL}};
Meetro;Paul Bragiel & Samuel Stauffer;2005;Multi-protocol;Windows: 0.96 beta OS X: 0.53 beta;{{Terminated|Discontinued}};
Messages;Apple Inc.;2012-07-25;Multi-protocol;8.1.3 ({{Start date and age|2015|01|27}});{{Included|Part of macOS and iOS}};
Skype for Business;Microsoft;2005;Single-protocol;2013 ({{Start date and age|2012|10|02}});{{proprietary|Trialware}};
Miranda IM;Miranda IM project;2000-02-06;Multi-protocol;{{Latest stable software release/Miranda IM}};{{free|GPL}};
Mysms;sms.at mobile internet services gmbh;2011;Single-protocol;{{dunno}};{{proprietary|Freemium}};
MySpaceIM;MySpace;2006-05-09;Single-protocol;1.0.754.0 ({{Start date and age|2008|02|07}});{{proprietary|Freeware}};
naim;Daniel Reed;1998-10-05;Multi-protocol;0.11.8.3.1 ({{Start date and age|2007|07|09}});{{free|GPL}};
Nimbuzz;Evert Jaap Lugt;2006;Multi-protocol;{{Latest stable software release/Nimbuzz}};{{proprietary|Freeware}};
Palringo;Palringo Ltd;2006;Single-protocol;Windows: 2.7.9 ({{Start date and age|2012|07|04}}) Windows Mobile: 2.6.6 ({{Start date and age|2012|03|30}}) iOS: 4.12 ({{Start date and age|2012|08|06}}) Android: 5.2.8 ({{Start date and age|2012|08|01}}) OS X: 4.6.4 ({{Start date and age|2012|07|24}}) Windows Phone: 0.11.0.0 ({{Start date and age|2012|02|14}});{{proprietary|Freemium}};
Paltalk;;1998-06;Multi-protocol;Version 10.2 Build 455;{{proprietary|Freeware}};
Pidgin;Mark Spencer;1998-11;Multi-protocol;{{Latest stable software release/Pidgin}};{{free|GPL}};
Psi;Psi and Psi+ developers;2001;Single-protocol;{{Latest stable software release/Psi}};{{free|GPL}};
Quiet Internet Pager (QIP);Ilgam Zyulkorneev;2004;Multi-protocol;{{Latest stable software release/Quiet Internet Pager}};{{proprietary|Freeware}};
QuteCom;QuteCom;2004;Multi-protocol;{{Latest stable software release/QuteCom}};{{free|GPL}};
Ricochet;Invisible.im;2014-06;Single-protocol;{{Latest stable software release/Ricochet}};{{free|BSD}};
Ring;Savoir-faire Linux Inc.;2014;Single-protocol;20180509;{{free|GPLv3}};
RingID;Ring Inc.;2015;Multi-protocol;4.1.4 {{small|(Android, {{start date and age|2016|3|16}})}}[6] 4.1.1.4 {{small|(Windows Phone, {{release date and age|2016|3|9}})}}[7] 4.2.2 {{small|(iOS, {{release date and age|2016|3|19}})}}[8];{{proprietary|Freeware}};
Riot.im;New Vector Limited;2016-07;Single-protocol;{{Latest stable software release/Riot.im}};{{free|Apache License}};
Sicher;SHAPE GmbH;2014-06;Single-protocol;1.1;{{Proprietary|Freeware}};
Signal;Open Whisper Systems;2014-07;Single-protocol;{{Latest stable software release/Signal}};{{free|GPLv3}};
Skype;Skype Technologies, a subsidiary of Microsoft Corporation;2003;Single-protocol;{{Latest stable software release/Skype}};{{proprietary|Freemium adware}};
Spark (XMPP client);Ignite Realtime;2006-09;Single-protocol;{{Latest stable software release/Spark (XMPP client)}};{{free|Apache License}};
Surespot;Surespot LLC;2013;Single-protocol;{{Latest stable software release/Surespot}};{{free|GPLv3}};
Telegram;Telegram Messenger LLP;2013;Single-protocol;{{Latest stable software release/Telegram}};{{free|GPLv2, GPLv3}}[9];
Tencent QQ;Tencent Holdings;1999-02;Single-protocol;See current releases;{{proprietary|Adware}};
TextSecure;Open Whisper Systems;2010-05;Single-protocol;Discontinued (merged with RedPhone to become Signal);{{free|GPLv3}};
Threema;Threema GmbH;2012-12;Single-protocol;{{Latest stable software release/Threema}};{{Proprietary|Proprietary commercial software}};
Tkabber;Alexey Shchepin;2002-07-03;Single-protocol;1.1.2 ({{Start date and age|2015|05|10}});{{free|GPL}};
Tox;Tox Foundation;2013;Single-protocol;;{{free|GPLv3}};
Trillian;Cerulean Studios;2000-07-01;Multi-protocol;{{Latest stable software release/Trillian}};{{proprietary|Freemium adware}};
Tuenti;Tuenti;2006;Multi-protocol;;{{proprietary}};
Upptalk;Upptalk;2010;Dual-protocol;{{Latest stable software release/Upptalk}};{{proprietary|Freeware}};
Viber;Talmon Marco, Igor Magazinnik, Sani Maroli and Ofer Smocha;2010-12-02;Single-protocol;{{Latest stable software release/Viber}};{{proprietary|Freemium}};
WeChat;Tencent Holdings;2011-01;Single-protocol;{{Latest stable software release/WeChat}};{{proprietary|Freeware}};
WhatsApp;Facebook, Inc.;2009-08;Single-protocol;{{Latest stable software release/WhatsApp}};{{proprietary|Freeware}};
Wickr;Wickr Inc.;2012-06;Single-protocol;{{Latest stable software release/Wickr}};{{proprietary|Trialware}};
Windows Live Messenger;Microsoft;1999-07;Dual-protocol;{{Latest stable software release/Windows Live Messenger}};{{Terminated|Discontinued}} (was freeware);
Wire;Wire Swiss GmbH;2014-12-03;Single-protocol;iOS: 2.2 Android: 2.3 OS X: 2.5 Windows: 2.6ch Web: 2016-04-08;{{free|GPLv3}};
Xabber;Redsolution Inc.;2011;Single-protocol;iOS: 2.0.1[10];{{free|GPLv3}};
