Client;Y!M;AIM/ICQ[28][29][30];XMPP[31];IRC;IBM Lotus Sametime;Novell GroupWise Messenger;Gadu-Gadu;QQ;Skype[28];MySpaceIM;SIP;Others;
Adium;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}}[32];{{yes}};{{no}};MobileMe, NateOn, Steam IM, Telegram, Tox, Zephyr;
AIM;{{no}};{{yes}}[33];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
AstraChat;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Ayttm;{{yes}};{{partial}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
BitlBee;{{yes}};{{yes}};{{yes}};{{n/a}}[34];colspan="6" {{depends}}[35];{{no}};{{depends}}[35];
Centericq;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
climm;{{no}};{{yes}}[36];{{partial}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
eBuddy;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};
emesene;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Empathy;colspan="2" {{depends}}[35];{{yes}};{{yes}};colspan="6" {{depends}}[35];{{yes}};{{depends}}[35];
Fire;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Ichat;{{yes}};{{maybe|yes/no}}[37];{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};Bonjour;
IMVU;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};IMVU;
Instantbird;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};Netsoul;
Jitsi;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};ippi, iptel.org, google talk;
Kadu;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
KDE Telepathy;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};Telegram;
Kopete;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{partial}}[32];{{no}};{{no}};SILC, WinPopup;
Messages;{{yes}};{{yes}}[33];{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};MobileMe;
Miranda IM;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}}[38];{{yes}};{{yes}};{{no}};{{dunno}};
naim;{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};Lily;
Nimbuzz;{{yes}};{{no}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};{{yes}};Twitter, Facebook chat, Google Talk;
Palringo;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{dunno}};{{dunno}};{{no}};{{dunno}};
Paltalk;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{no}};{{dunno}};
Pidgin;{{yes2}}Plug-in;{{yes}}[39];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes2}}Plug-in;{{yes2}}Plug-in;{{yes2}}Plug-in;{{yes2}}Plug-in[40];Bonjour, Facebook plugin, SIMPLE, Zephyr;
QIP;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};MRA, XIMSS;
QuteCom;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
Ring;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};Ring;
Spark (XMPP client);{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}}[38];{{no}};
Tencent QQ;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Tkabber;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Trillian;{{no}}[41];{{yes}};{{yes}};{{yes}}[42];{{no}};{{yes}}[42];{{yes}}[38][42];{{yes}}[38][42];{{No}}[43][42];{{yes}};{{no}};LinkedIn,[42] Foursquare,[42] ASTRA, VZ[42];
Yahoo! Messenger;{{partial}}[44];{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Upptalk;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Xabber;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
! Y!M;AIM/ICQ;XMPP;IRC;IBM Lotus Sametime;Novell GroupWise Messenger;Gadu-Gadu;QQ;Skype;MySpaceIM;SIP;Others;
