Client;Transports[46];File transfer (XEP-0096)[47];Multi-user chat (XEP-0045);Link-local {{small|(XEP-0174)}};Jingle {{small|(XEP-0166)}};
File transfer[47];Voice calls;Video calls;
Adium;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
AstraChat;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};
BitlBee;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Bombus[48];{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
climm;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Coccinella[49];{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};
Conversations;{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};
Telepathy-based[50][51];{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Gajim[52];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes-no|Except Windows}};
Jitsi;{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
Kadu;{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Kopete;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Messages;{{no}};{{yes}};{{yes-no|Only join}}[53];{{yes}};{{yes}};{{no}};{{no}};
MCabber[54];{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Miranda IM;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Nimbuzz;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};
Pidgin[55];{{yes}};{{yes}};{{yes}};{{yes}};{{partial}}[56];{{yes-no|Except Windows}}[57];{{yes-no|Except Windows}}[57];
Psi;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes2}}Plug-in;{{yes2}}Plug-in;
Spark (XMPP client);{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes2}}Plug-in;{{yes2}}Plug-in;
Tkabber[58];{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Trillian;{{no}};{{yes}};{{yes-no|Only Windows}}[59];{{yes-no|Only Windows}}[59];{{no}};{{no}};{{no}};
