Protocol;Creator;First public release date;License;Identity (not inc. alias);Asynchronous message relaying;Transport Layer Security;End-to-end encryption;Unlimited number of contacts;Bulletins to all contacts;One-to-many routing 4;Spam protection;Group, channel or conference support;Audio/VoIP support;Webcam/Video;Batch file sharing;Media synchronisation;Serverless 6 (decentralized);Protocol;
Bitmessage;Bitmessage;Jonathan Warren;2012 Nov;{{free|Open standard}};Alphanumeric address;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}} (through proof-of-work);{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};
Gadu-Gadu;Gadu-Gadu;GG Network;2000 Jul 17;Proprietary;Unique number e.g. 12345678;{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{No|Centralistic}};{{Yes}} 5 (simple);{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};
IRC;IRC;Jarkko Oikarinen;1988 Aug;{{free|Open standard}};Nickname!Username@hostname (or "hostmask") e.g. user!~usr@a.b.com1;{{Yes}}, but via a memo system that differs from the main system;{{Yes|Yes, depending on individual server support}};{{No}};{{No}}3;{{No}};{{Yes|Simplistic multicast}};Medium;{{Yes}} (everyone, multiple simultaneous, any size);{{No}};{{No}};{{Yes}};{{No}};{{No}};
Echo Protocol;Echo Protocol;spot-on.sf.net / goldbug.sf.net;2013;{{free|Open standard}};Key;{{Yes}};{{Yes|Yes, optional}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};
Matrix;Matrix;Matrix.org;2014 Sep;{{free|Open standard}};Matrix user ID (MXID);{{Yes}};{{Yes|Yes, mandatory}};{{Optional}};{{Yes}};{{No}};{{Yes}};{{Yes}} (using pluggable server-side filtering modules);{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};
MSNP (Windows Live Messenger, etc.);MSNP (Windows Live Messenger, etc.);Microsoft;1999 Jul;Proprietary;Email address (Microsoft account);{{Yes}};{{No}};{{No}};Only for certified robots;{{No}};{{No|Centralistic}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};
MTProto (Telegram);Telegram Messenger LLP;2013 Aug;{{free|Open standard}};Phone number (e.g. +1234567890), nickname (e.g. @example);{{yes}};{{yes}};{{Optional}};{{yes}};{{no}};{{yes}};{{yes}}, contact blocking;{{yes}};{{yes}}[1];{{no}};{{yes}};{{yes}};{{No}};MTProto (Telegram);
Mumble;Mumble;Thorvald Natvig;1999 Jul;{{free|Open standard}};Username;{{Yes}};{{Yes}};{{No}};Only for certified robots;{{No}};{{No|Centralistic}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};
OSCAR (AIM, ICQ);OSCAR (AIM, ICQ);AOL;1997;Proprietary (Discontinued 15-Dec-2017)[2];Username, Email Address or UIN e.g. 12345678;{{Yes}};{{Yes}} (Aim Pro, Aim Lite);{{No}};{{No}};{{No}};{{No|Centralistic}};{{No|client-based}};{{Yes}} (Multiple, simultaneous);{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};
