IDE;Developer;Latest stable release;Platform;License;Written in;
Anjuta;Anjuta Team;June 2013;Unix-like;{{yes|GPL}};C;
Atom;GitHub;March 2017;Cross-platform;{{yes|MIT License}};JavaScript;
Brackets;Adobe;September 2017;Cross-platform;{{yes|MIT License}};JavaScript, HTML, CSS;
Aptana Studio;Aptana, Inc.;December 2013;Cross-platform;{{yes|GPL, proprietary}};Java, JavaScript;
Codeanywhere;Codeanywhere, Inc.;August 2015;Cloud IDE;{{proprietary}};JavaScript;
CodeLite;CodeLite;October 2015;Cross-platform;{{yes|GPL}};C++;
Eclipse Web Tools;IBM;;Windows, Linux, macOS, FreeBSD, JVM, Solaris;{{yes|EPL}};C, Java;
Komodo IDE / Edit;ActiveState;November 19, 2013;Cross-platform;{{yes|IDE:Proprietary, Edit:MPL 1.1}};C, C++, JavaScript, Perl, Python, Tcl, XUL;
NetBeans;Oracle;9.0 / {{Start date and age|2018|07|29}}[27];Cross-platform;{{yes|CDDL}}, GPL2;Java;
Nodeclipse NTS;Nodeclipse;March 31, 2014;Windows, Linux, macOS, FreeBSD, JVM, Solaris;{{yes|EPL}};Java;
NuSphere PhpED;NuSphere;June 2011;Windows;{{proprietary}};N/A;
Oracle JDeveloper;Oracle Corporation;July 2013;Windows, Linux, macOS;{{proprietary}} – free[28];Java;
Servoy;Servoy Developer Team;June 2011;Cross-platform;{{proprietary|Servoy License}};Java;
SlickEdit;SlickEdit;October 2016;Windows, Linux, macOS, Solaris, AIX, HP-UX;{{Proprietary}};C++;
Visual Studio;Microsoft;March 31, 2016[29];Windows;{{proprietary}};C++, C#;
Visual Studio Code;Microsoft;{{sort|2017-09| 1.18 / November, 2017}};Cross-platform;{{yes|MIT License}};JavaScript;
WebStorm;JetBrains;July 2017[30];Cross-platform;{{proprietary}};Java;
