System;Creator;License;Implementation language(s);Back end;Launch date;Refs;
Apache Bloodhound;Apache Software Foundation;{{free|Apache License}};Python;MySQL, PostgreSQL, SQLite;2012;[1];
Assembla Tickets;Assembla;Proprietary, hosted. Available for free for open source projects;Ruby;MySQL;2008;;
Axosoft;Axosoft LLC;{{proprietary|Proprietary, Saas}};C#, .NET;SQL Server;2002;;
Bugzilla;Mozilla Foundation;{{free|MPL}};Perl;MySQL, Oracle, PostgreSQL, SQLite;1998-09-19;;
Debbugs;Debian;{{free|GPL}};Perl;Flat file, Berkeley DB indexes{{Citation needed|date=June 2013}};Between 1994 and 1999[2];;
Faveo Helpdesk;Ladybird Web Solution;{{free|Open Software License}};PHP;MySQL;2015;;
FogBugz;Fog Creek Software;Saas;ASP on Windows, PHP on macOS, FreeBSD, and Linux;SQL Server, MySQL;2000;[3];
Fossil;D. Richard Hipp;{{free|BSD}};C;SQLite;2006;;
FusionForge;Various (open source contributors);{{free|GPLv2}};PHP;PostgreSQL;2009-02;;
GLPI;INDEPNET;{{free|GPLv2}};PHP;MySQL;2003-11-17;;
GNATS;Free Software Foundation;{{free|GPL}};C, Web Front-end In Perl;Text files with custom daemon/search engine;1992;;
HP Quality Center;Hewlett-Packard, formerly Mercury Interactive;{{proprietary|Proprietary}};.NET (client), Java (server);Oracle, SQL Server;1995;;
IBM Rational ClearQuest;Rational Software;{{proprietary|Proprietary}};kernel: executables for several platforms; hooks: Perl and Visual Basic;IBM DB2, Oracle, SQL Server, Access, Sybase ASA;1998;;
IBM Rational Team Concert;Rational Software;{{proprietary|Proprietary}};kernel: Java; API: Java;IBM DB2, Oracle, SQL Server, Apache Derby;2008;;
Jira;Atlassian;Proprietary. Free community licenses for open source and academic projects;Java;MySQL, PostgreSQL, Oracle, SQL Server;2002;;
Launchpad;Canonical Ltd.;{{free|AGPL}};JavaScript, Python;PostgreSQL;2004-01;;
Liberum Help Desk;Doug Luxem;{{free|GPL}};ASP;SQL Server, Access;2000;;
MantisBT;Various (open source contributors);{{free|GPL}};PHP;ADOdb (MySQL, PostgreSQL, SQL Server, etc.);2000;;
Microsoft Dynamics CRM;Microsoft;{{proprietary|Proprietary, Commercial}};.NET;Microsoft SQL Server;2003;;
OpenProject;OpenProject Foundation e.V.;{{free|GPL}};Ruby, JavaScript;MySQL, PostgreSQL, MariaDB;2010;;
org-mode;Carsten Dominik;{{free|GPL}};Emacs;Flat file;2003;;
OTRS;OTRS;{{free|AGPL}};Perl, JavaScript;MySQL, PostgreSQL, Oracle, SQL Server;2002;;
Phabricator;Facebook;{{free|Apache License}};PHP;;2010;;
Pivotal Tracker;Pivotal Labs;Proprietary, free version for public projects, non-profits and academic institutions;Ruby;Ruby on Rails, MySQL, Memcached;2008;;
Redmine;Jean-Philippe Lang;{{free|GPLv2}};Ruby;MySQL, PostgreSQL, SQLite;2006;;
Request Tracker;Best Practical Solutions, LLC;{{free|GPLv2}};Perl;MySQL, PostgreSQL, Oracle, SQLite;1999-10-13;;
Roundup;Ka-Ping Yee, Richard Jones;{{free|MIT license (ZPL v 2.0 for the template system)}};Python;SQLite, MySQL, PostgreSQL, Berkeley DB;2001;;
StarTeam;originally Starbase Corporation, currently Borland;{{proprietary|Proprietary}};C++, Java, etc.;SQL Server recommended, Oracle, DB2 supported;{{unk}};;
Supportworks;Hornbill Systems;{{proprietary|Proprietary}};C++ and PHP;SQL Server, MySQL, Oracle, Sybase;1994[4];;
SysAid;SysAid Technologies;{{proprietary|Proprietary}};C#, Java;Derby, Microsoft SQL Server, MySQL, Oracle;2002;;
Team Foundation Server;Microsoft;{{proprietary|Proprietary, Commercial}};.NET;MS SQL Server 2005 & 2008;2005;;
TestTrack;Seapine Software;{{proprietary|Proprietary}};C++, Qt4, JavaScript;Oracle, PostgreSQL, SQL Server, SQLite;1996;;
The Bug Genie;Various (open source contributors);{{free|Mozilla Public License 1.1}};PHP;MySQL, PostgreSQL, SQL Server;2003-09-11;;
Trac;Edgewall Software;{{free|New BSD}};Python;SQLite, PostgreSQL, MySQL;2006-10-01;;
TrackerSuite.Net;Automation Centre;{{proprietary|Proprietary}};C#;SQL Server, SQL Server Express;2006;;
Tuleap;enalean;{{free|GPLv2}};php;LAMP, MySQL;2011;;
Twproject;Open Lab;Proprietary, some parts LGPL;Java;all relational (uses Hibernate);2003;;
Usersnap;Usersnap GmbH;{{proprietary|Proprietary}};Python, JavaScript;MongoDB,;2013;;
Wrike;Wrike, Inc.;{{proprietary|Proprietary, hosted}};Java;PostgreSQL;2006;;
YouTrack;JetBrains s.r.o.;Proprietary, stand-alone and hosted, free version, free for open source projects;Java, MPS-based DSLs;JetBrains DB;2009;;
System;Creator;License;Implementation language(s);Back end;Launch date;Refs;
