Language;Pairaphrase;Xerox Easy Translator;Omniscien Technologies Language Studio;IBM Watson;Apertium;OpenLogos;Google Translate;Slate Rocks;Moses for Mere Mortals;Babel Fish;Bing Translator;GramTrans;SYSTRAN;IdiomaX;SAIC Omnifluent;lingenio translate;
To English;Arabic to English;{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};
Catalan to English;{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};
Chinese (Simplified) to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};
Chinese (Traditional) to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};
Czech to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};
Danish to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};
Dutch to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};
Esperanto to English;{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Estonian to English;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};
Finnish to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};
French to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};
Galician to English;{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
German to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{Yes}};
Greek to English;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};
Haitian Creole to English;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};
Hebrew to English;{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};
Hindi to English;{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};
Hungarian to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};
Indonesian to English;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};
Irish to English;{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Italian to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};
Japanese to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};
Korean to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};
Latvian to English;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};
Lithuanian to English;{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};
Macedonian to English;{{No}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Malay to English;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};
Maltese to English;{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};
Norwegian to English;{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};
Persian to English;{{Yes}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};{{No}};
