| {{sort|00000|}};{{sort|00000|Server OS support}};{{sort|00000|Features}};{{sort|00000|Storage}};| {{sort|00000|Users}};
Mail server;Linux/Unix;SMTP;POP3;IMAP;IMAP IDLE;SMTP over TLS;DANE;POP over TLS;IPv6;SSL;Webmail;ActiveSync;Sieve;Database;Filesystem;Other;License;
agorum core;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{free|GPLv2}};
Apache James;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{Dunno}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{free|ASLv2}};
Axigen;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes|Ajax, Basic & Mobile}};{{yes}};{{yes}};{{yes|Proprietary, Embedded, Optimized for Email and Groupware}};{{no}};{{yes}};{{Proprietary}} (free version: 5 domains, 5 users, 5 groups);
Citadel;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{free|GPLv3}};
CommuniGate Pro;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{Proprietary}} (Free for up to 5 users);
Courier Mail Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no|maildrop}};{{no}};{{yes|maildir}};{{no}};{{free|GPLv3}}[2];
Cyrus IMAP;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}} (indexes);{{yes}};{{yes}};{{free|4-clause BSD}}[3];
Dovecot;{{yes}}[4];{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes|maildir, mbox, dbox}};{{no}};{{free|Mixed: MIT and LGPL 2.1}}[5];
Eudora Internet Mail Server;{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{dunno}};{{no}};{{Dunno}};{{no}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{yes}};{{Proprietary}};
Exim;{{yes}};{{yes}};{{no|Dovecot, UW IMAP}};{{no|Dovecot, UW IMAP}};{{no|Dovecot, UW IMAP}};{{yes}};{{yes}}[6];{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{free|GPLv2+}}[7];
FirstClass;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{Dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{Proprietary}};
Gordano Messaging Suite;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{Dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{Proprietary}};
GroupWise;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{Dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};{{no}};{{Proprietary}};
Halon;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}}[8];{{no}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{yes}};{{yes}};{{yes}};{{Proprietary}};
Haraka;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{yes}};{{yes}};{{yes}};{{free|MIT}};
hMailServer;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{yes}};{{no}};{{dunno|GNU AGPL}};
IBM Lotus Domino;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};{{no}};{{Proprietary}};
IceWarp Mail Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{Proprietary}};
Ipswitch IMail Server;{{no}};{{yes}};{{yes}};{{yes}};{{yes}} (since v12.2)[9];{{yes}};{{dunno}};{{yes}};{{Dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{no}};{{yes}};{{no}};{{Proprietary}};
Kerio Connect;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{Proprietary}};
Kolab;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{free|GPLv3}};
Kopano;{{yes}};{{yes2|External[10]}};{{yes}};{{yes}};{{yes}};{{yes2|External[10]}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes|Amazon S3}};{{dunno|AGPLv3, paid}}[11];
Mailsite;{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{Dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{Proprietary}};
Mailtraq;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{Dunno}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{yes}};{{yes}};{{Proprietary}};
MDaemon;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{Proprietary}};
Mercury Mail Transport System;{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{Dunno}};{{yes}};{{yes}};{{no}};{{dunno}};{{no}};{{yes}};{{no}};{{Proprietary|Proprietary donationware}};
Microsoft Exchange Server;{{no}};{{yes}};{{yes}};{{yes}};{{yes}}[12][13];{{yes}};{{dunno}};{{yes}};{{yes}} (2007 sp1 onwards)[14];{{yes}};{{yes}};{{yes}};{{dunno}};{{yes2}} ESE only;{{yes}} (up to 2003 only)[15];{{yes}};{{Proprietary}};
NetMail;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{no}};{{no}};{{Proprietary}};
OpenSMTPD;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}}[16];{{no}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno|possible through custom backends}};{{yes}};{{no}};{{free|ISC}};
Open-Xchange;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};{{no}};{{Proprietary|Proprietary/SaaS, with open-source parts}}[17];
Oracle Communications Messaging Server;{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{yes}};{{no}};{{Proprietary}};
Postfix;{{yes}};{{yes}};{{no|Dovecot, UW IMAP}};{{no|Dovecot, UW IMAP}};{{no|Dovecot, UW IMAP}};{{yes}};{{yes}};{{no}};{{Yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{free|IBM Public License}};
qmail;{{yes}};{{yes}};{{yes}};{{no|Dovecot, UW IMAP}};{{no|Dovecot, UW IMAP}};{{no}};{{no}};{{no|Dovecot, UW IMAP}};via Qsmtp;{{no}};{{no}};{{no}};{{dunno}};{{yes|(cdb)}};{{yes}};{{no}};{{free|Public domain}};
Qpopper;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{no}};{{no}};{{dunno}};{{no}};{{yes}};{{yes}};{{free|BSD-style, GPL-incompatible}}[18];
Scalix;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (via Stunnel);{{dunno}};{{yes}} (via Stunnel);{{dunno}};{{yes}} (via Stunnel);{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};{{dunno|Proprietary with OSS parts, a community (Freeware) and 3 paid editions (SMB, Enterprise, Hosting)}};
