Client;Primary developers;Cost;Software license;User interface;Programming language;Computing platform;Website;
AndroidChat[1];;{{free|Free software}};GNU GPL;TUI, GUI;Java;Android;[1];
Mobile Colloquy;Kiji Roshi;{{nonfree|US$1.99}};BSD License;GUI;Objective-C;iOS;[2];
fIRC;Laurence Muller;{{free|Free software}};GNU GPL;GUI;Java;Android;[3];
IRCCloud;IRCCloud Ltd.;{{free|Freeware}}[2];{{dunno}};GUI;{{dunno}};iOS, Android;[4];
jmIrc;Juho Vähä-Herttua;{{free|Free software}};GNU GPL;GUI;Java;Java ME;[5];
k-IRC;Armond Avanes;{{free|Free software}};GNU GPL;GUI;Java;Java ME;[6];
microirc;;{{free|Free software}};GNU GPL;GUI;C ?;Windows Mobile 5 (and above);[7];
Virca;;{{free|Free software}};GNU GPL;TUI;Java;Java ME;[8];
wIRC;;{{free|Free software}};GNU GPL;GUI;C & JavaScript;WebOS;[9];
WLIrc{{Anchor|WLIrc}};Sverre Kristian Valskrå;{{free|Free software}};GNU LGPL;GUI;Java;Java ME;[10];
Yaaic{{Anchor|Yaaic}};Sebastian Kaspari;{{free|Free software}};GNU GPL;GUI;Java;Android;[11];
Simple IRC;The Linux Geek;{{free|Free software}};GNU GPL;GUI;Java;Android;[12];
zsIRC{{Anchor|zsIRC}};Gargaj;{{free|Free software}};3-clause BSD;GUI;C++;Windows Mobile;[13];
Client;Primary developers;Cost;Software license;User interface;Programming language;Computing platform;Website;
