Camera model;Camera line;Manufacturer;Introduced;Weight;MOS/Sync;Lens mount;
7LTR (Super 16);Aaton LTR;Aaton;1974;;Sync;Aaton universal;
54LTR;Aaton LTR;Aaton;1982;;Sync;Aaton universal;
Arriflex 16HSR2 (Super 16);Arriflex 16SR;Arri;1982;{{convert|11.02|lb|abbr=on}}, with empty magazine;Sync;Arri bayonet (Arri PL for some later models);
Arriflex 16SR2 (Super 16);Arriflex 16SR;Arri;1982;{{convert|11.02|lb|abbr=on}}, with empty magazine;Sync;Arri bayonet (Arri PL for some later models);
Panaflex 16 ("The Elaine");Panaflex 16;Panavision;June 27, 1984[1];{{convert|16.6|lb|abbr=on}}, with eyepiece;Sync;PV mount;
XTR;Aaton XTR;Aaton;1984;;Sync;Aaton universal;
Arriflex 16HSR3;Arriflex 16SR;Arri;1992;{{convert|14.5|lb|abbr=on}};Sync;Arri PL;
Arriflex 16SR3;Arriflex 16SR;Arri;1992;{{convert|14.5|lb|abbr=on}};Sync;Arri PL;
X0plus;Aaton XTR;Aaton;1992;;Sync;Aaton universal;
XTRplus;Aaton XTR;Aaton;1992;;Sync;Aaton universal;
XTRprod;Aaton XTR;Aaton;1994;{{convert|13|lb|abbr=on}}, with onboard battery and full magazine;Sync;Arri PL, Aaton universal, or PV mount;
A-Minima;A-Minima;Aaton;2000;{{convert|5|lb|abbr=on}}, with onboard battery and full magazine;Sync;Arri PL and Nikon;
Arriflex 416;Arriflex 416;Arri;2006;{{convert|12.1|lb|abbr=on}}, with full magazine;Sync;Arri PL;
Arriflex 416 Plus;Arriflex 416;Arri;2006;{{convert|12.6|lb|abbr=on}}, with full magazine;Sync;Arri PL;
Xtera;Aaton XTR;Aaton;2006;;Sync;Arri PL, Aaton universal, or PV mount;
