Name;Developer(s);License;Platforms;
AllMyNotes Organizer;Vladonai Software;{{Proprietary|Proprietary, Freemium}};Microsoft Windows;
BasKet Note Pads;KDE;{{Free|Open source (GPL)}};Unix-like (KDE);
CintaNotes;Cinta Software;{{Proprietary|Proprietary, Freemium}};Microsoft Windows;
ConnectedText;Eduardo Mauro;{{Nonfree|Proprietary, Commercial}};Microsoft Windows;
Day One;Bloom Built;{{Nonfree|Proprietary, Commercial}};macOS, iOS;
Dropbox Paper;Dropbox;{{Proprietary|Proprietary, Freemium}};Android, IOS, web-based;
Evernote;Evernote Corporation;{{Proprietary|Proprietary, Freemium for personal use, per-seat licensing for business}};Android, iOS, macOS, Microsoft Windows 7/8/10, Microsoft Windows Phone, and web-based;
Gnote;Aurimas ?ernius;{{Free|Open source (GPL v3)}};Linux;
Google Keep;Google;{{Proprietary|Proprietary, no-cost}};Android, iOS, Chrome OS, browser based;
KeyNote NF;Marek Jedli?ski, Tranglos Software;{{Free|Open source (MPL)}};Microsoft Windows;
Memonic;Nektoon AG;{{Proprietary|Proprietary, Freemium}}[1];Android (not released yet), iOS, macOS, Microsoft Windows XP/Vista/7/Mobile web-based;
Microsoft OneNote;Microsoft;{{Proprietary|Proprietary, Shareware/Freeware/Freemium}}[2];Android, macOS, iOS (iPad, iPhone), Microsoft Windows 7/8/10, Microsoft Windows Server 2008R2/2012R2/2016, Microsoft Windows Phone 8/8.1/10, web-based, mobile web;
MyInfo;Milenix Software;{{Nonfree|Proprietary, Shareware}};Microsoft Windows XP/Vista/7;
MyNotex;Massimo Nardello;{{Free|Open source (GPL)}};Linux;
Notational Velocity;Zachary Schneirov;{{Free|Open source (GPL v3)}};macOS;
Notes;Apple;{{Proprietary|Proprietary}};macOS, iOS, web-based;
Notizen .NET;{{Dunno}};{{maybe|No-cost, unknown license}};Microsoft Windows XP/Vista/7;
Okular;Okular Team (KDE);{{Free|Open source (GPL)}};KDE-enabled Linux, Unix, Microsoft Windows, macOS, *BSD[3];
Open-Sankoré;Sankoré;{{Free|Open source (GPL)}};Linux, macOS, Unix, Microsoft Windows;
Org-mode (Emacs);Carsten Dominik, et al.;{{Free|Open source (GPL)}};Linux, macOS, Unix, Microsoft Windows (Emacs mode);
Outline;Gorillized Corporation;{{Nonfree|Proprietary, Commercial}};macOS, iOS;
PDF Studio;Qoppa Software;{{Nonfree|Proprietary, Shareware}};Linux, macOS, Microsoft Windows, web-based;
Personal Knowbase;Bitsmith Software;{{Nonfree|Proprietary, Commercial}};Microsoft Windows;
QOwnNotes;Patrizio Bekerle;{{Free|Open source (GPL)}};GNU/Linux, macOS, Microsoft Windows;
Qiqqa;Quantisle Ltd.;{{Proprietary|Proprietary, Freemium}};Microsoft Windows XP/Vista/7/8, Web-based, Android;
Simplenote;Automattic inc.;{{Free|Open source }};Cross-platform;
TagSpaces;TagSpaces UG;{{Free|Open source (AGPL)}};Cross-platform (browser, web-based);
TiddlyWiki;Jeremy Ruston;{{Free|Open source (BSD)}};Cross-platform (single html file, runs in browser, on a nodeJS server, on Android and IOS);
Tomboy;Alex Graveley;{{Free|Open source (LGPL)}};Cross-platform (Mono/GTK+);
TreeDBNotes;{{Dunno}};{{Proprietary|Proprietary, Freemium}};Microsoft Windows;
Ulysses;The Soulmen;SaaS;macOS, iOS;
Whizfolders;AvniTech Solutions;{{Nonfree|Proprietary, Commercial}};Microsoft Windows;
WikidPad;Michael Butscher;{{Free|Open source (BSD)}};Cross-platform (Python);
Microsoft Windows Journal;Microsoft;{{Nonfree|Proprietary, Commercial}};Microsoft Windows XP Tablet PC edition, Microsoft Windows Vista, Microsoft Windows 7/8/10 (included with {{abbr|OS|operating system}});
Zim;Jaap Karssenberg;{{Free|Open source (GPL)}};Cross-platform (Python, GTK+);
ZOHO Notebook;ZOHO Corporation;{{Proprietary|Proprietary, Commercial, Freemium}};Self-hosted. SaaS.;
