Name;Drawing atop text [unclear];Text box, flow diagram [unclear];Text and paragraph formatting;Insert hyperlink [unclear];Insert image;Resize image;Insert table;Insert audio;Insert video;Insert SWF;Attachment [unclear];Other objects;Remarks / other features;
AllMyNotes Organizer;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{Yes}};Alarms, check-boxes, bullets, phones, advanced links, autosaving; last cursor position memory,passwords on tree folders,failure-resistant self-healing DB engine;;
BasKet Note Pads;{{Dunno}};{{Dunno}};{{Yes}};{{Yes}};{{Yes}};?;{{No}};{{No}};{{No}};{{No}};{{Yes}};tags (check boxes, etc.);Adding, managing notes by category, autosave;
Cherrytree;{{Dunno}};{{Dunno}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{Dunno}};{{Dunno}};{{Dunno}};{{Yes}};{{Dunno}};;
CintaNotes;{{No}};{{No}};{{Yes}};{{Yes}};{{No}};?;{{No}};{{No}};{{No}};{{No}};{{Yes}};Links to notes;Tagging and searching for tags, tag hierarchy;
ConnectedText;{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{No}};{{Yes}};{{No}};{{Yes}};Scripting of pages with Python and other scripting languages.;LaTex, Scripts, RSS Feeds, Transclusion, Directed Graphs and Flowcharts by GraphViz, many other features.;
Day One;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{No}};{{Yes}};{{No}};{{No}};tags, bullets, numbering, line, programming code snippets;editable note metadata (date/time, location, weather, motion activity, music playing, step count);
Org-mode (Emacs);{{Dunno}};{{Yes}};{{Yes}};{{Yes}};{{Yes}};?;{{Yes}};{{No}};{{No}};{{No}};{{Yes}};Advanced linking,{{clarify|date=August 2014}} bullets, tags, checkboxes, full spreadsheet, embedding of programming code, formulas, markup;Major mode of Emacs; uses plain-text; includes ToDos, spreadsheet, deadlines, encryption, reminders, agenda, calendar;
Evernote;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};{{Yes}} (at least Microsoft Windows version (06/2016));{{Yes}};{{Yes}};{{Yes}};{{No}};{{Yes}};Check-box, line, tags;Business and personal notes integrated in same client; businesses have control over business notes, but cannot see personal notes;
Gnote;{{No}};{{No}};{{Yes}};{{Yes}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{No}};{{Dunno}};Port of Tomboy to C++; wiki-style linked notes;
Google Keep;{{No}};{{No}};{{Yes}};{{Yes}};{{Yes}};?;{{partial}}[14];{{Yes}};{{Dunno}};{{No}};{{No}};Google Calendar reminders;Notes can be shared with other Google Keep users.;
