;Windows;macOS;Linux;BSD;Unix;DOS;Android;SaaS;
ADMB;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
Analytica;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Ch;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
Dyalog APL;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}}[7];{{no}};{{no}};
DADiSP;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Euler Math Toolbox;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
FlexPro;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
FreeMat;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
GAUSS;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};
GNU Data Language;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
GNU MCSim;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
GNU Octave;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
IGOR Pro;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Julia;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};
LabVIEW;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Maple;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};
Mathematica;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};
MATLAB;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
MLAB;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};
Origin;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
Perl Data Language;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
R;{{yes}};{{yes}};{{Yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
SageMath;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};
SAS;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};
SequenceL;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
S-Lang;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Scilab;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};
Sysquake;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};
TK Solver;{{Yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
The Unscrambler;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};
VisSim;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};
