Name;x86, i386, IA-32;x86 SMP;Xen;IA-64;x86-64;PowerPC;PowerPC SMP;SPARC32;SPARC SMP;Alpha;MIPS;ARM;XScale;M68k;PA-RISC;OpenRISC;others;hosted mode;
Linux;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};FR-V, Cell, ETRAX CRIS, M32R, Xtensa, h8, s390, SuperH;UML, coLinux, MkLinux, Itanium Linux-on-Linux, wombat;
FreeBSD[3];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};PC98;;
OpenBSD[4];{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}}{{r|group=Note|b1}}[5];{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};SuperH, VAX, m88k;;
NetBSD[6];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};SuperH, ns32k, VAX, hppa, M68010, mipseb, mipsel, sh3eb, sh3el, sparc64;;
DragonFly BSD[7];{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;vkernel;
OpenSolaris[8] illumos;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;;
AuroraUX[8];{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}}{{r|group=Note|b1}};{{no}};{{yes}};{{yes}};{{no}};{{yes}}{{r|group=Note|b1}};{{yes}};{{no}};{{no}};{{no}};{{no}};;
Darwin, OpenDarwin[9];{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};;L4/Darwin;
MINIX[10];{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};;;
FreeDOS;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;;
Genode;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};RISC-V;Linux;
Haiku;{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}}{{r|group=Note|b1}}[11];{{no}};{{no}};{{no}};{{no}};;;
KolibriOS;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;;
MenuetOS;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;;
GNU;{{yes}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};{{yes}}{{r|group=Note|b4}};FR-V, Cell, ETRAX CRIS, M32R, Xtensa, h8, s390, SuperH{{r|group=Note|b4}};UML, Itanium Linux-on-Linux{{r|group=Note|b5}};
ReactOS;{{yes}};{{yes}};{{no}}{{r|group=Note|b1}};{{no}};{{yes}};{{no}}{{r|group=Note|b1}};{{no}}{{r|group=Note|b1}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};;;
L4, Pistachio;{{yes}};{{no}};{{no}};{{yes}}{{r|group=Note|b2}};{{yes}}{{r|group=Note|b2}};{{yes}}{{r|group=Note|b2}};{{no}};{{no}};{{no}};{{yes}}{{r|group=Note|b2}};{{yes}}{{r|group=Note|b2}};{{yes}};{{no}};{{no}};{{no}};{{no}};;;
Plan 9;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}}{{r|group=Note|b3}};{{yes}}{{r|group=Note|b3}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{r|group=Note|b3}};{{no}};{{no}};See[12][13];lguest, vx32;
AROS;{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};;i386-linux, i386-freebsd;
Syllable;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;;
Inferno;{{yes}};{{dunno}};{{no}};{{no}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}}{{r|group=Note|b3}};{{no}};{{no}};AMD Am29000,{{r|group=Note|b3}} Texas Instruments OMAP;Microsoft Windows, Linux, FreeBSD, Plan 9, OS X, Solaris, Irix, UnixWare,{{r|group=Note|b3}} HP-UX,{{r|group=Note|b3}} Internet Explorer;
FreeRTOS;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};AVR, PIC, MSP430, HCS12, 8052, MicroBlaze, Cortex-M3, H8S;;
eCos;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};CalmRISC, ColdFire, FR-V, h8, Matsushita AM3x, Nios II, NEC V8xx, SuperH;Microsoft Windows, Linux;
RTEMS;{{yes}};{{no}};Xen;{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Blackfin, Nios II, Coldfire, Texas Instruments C3x/C4x, SuperH, H8S;Linux, Solaris, Cygwin, FreeBSD, multiple CPU simulators;
HelenOS;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};;;
