Name;Firewall;TCP/IP;IPv6;IPX;PPP;PPPoE;DHCP;bridge;TUN/TAP;ssh;OpenVPN;
Linux;netfilter iptables/nftables;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
FreeBSD;IPFW2, IPFilter, PF;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
OpenBSD;PF;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
NetBSD;IPFilter, NPF, PF;{{yes}};{{yes}};;{{yes}};{{yes}}{{r|group=Note|e1}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
DragonFly BSD;IPFW2, PF;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;
OpenSolaris, illumos;IPFilter;{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{r|group=Note|e2}};{{yes}};{{yes}};
AuroraUX;IPFilter;{{yes}};{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};;{{yes}};{{yes}};
Darwin, OpenDarwin;IPFW;{{yes}};{{yes}};;;;{{yes}};;;{{yes}};;
MINIX;;{{yes}};;;;;;;;{{yes}};;
FreeDOS;;{{yes}};;{{yes}};{{yes}};{{yes}};{{yes}};;;{{yes}};;
Genode;software IP routing;{{yes}};;{{no}};{{no}};{{no}};{{yes}};{{yes}};;;;
Haiku;None;{{yes}};{{yes}};;;;{{yes}};;;{{yes}};{{yes}};
KolibriOS;None;{{yes}};;{{no}};{{yes}};{{no}};{{yes}};;;;;
MenuetOS;None;{{yes}};;{{no}};{{no}};{{no}};;;;;;
GNU;netfilter iptables/nftables (with Linux-libre and Linux kernel){{r|group=Note|e3}};{{yes}};{{yes}}{{r|group=Note|e4}};;;;{{yes}}{{r|group=Note|e5}};;;{{yes}};;
ReactOS;;{{yes}};{{yes}};;;;;;;;;
L4, Fiasco, Pistachio;;;;;;;;;;;;
Plan 9;ipmux;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};
AROS;;{{yes}};;;;;;;;;;
Syllable;;{{yes}};;;{{yes}};{{yes}};{{yes}};;;{{yes}};;
Inferno;ipmux;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};
FreeRTOS;;;;;;;;;;;;
eCos;;{{yes}};{{yes}};;{{yes}};;{{yes}};;;{{yes}};;
RTEMS;;{{yes}};{{no}};;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;
HelenOS;;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
E/OS;V2 OS;;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;
K42;
UnixLite -->;
Name;Firewall;TCP/IP;IPv6;IPX;PPP;PPPoE;DHCP;bridge;TUN/TAP;ssh;OpenVPN;
