;Language;License;Mutual auth;Encrypts;Verify mode;Agent-less;Have a GUI;First release;Latest stable release;
Ansible;Python;GPLv3+;{{yes}}[1];{{yes}}[2];{{yes}};{{yes}};{{yes}}[3];2012-03-08;2018-12-13 2.7.5[4][5][6];
Bcfg2;Python;BSD 2-clause[7];{{yes}}[8];{{yes}}[9];{{yes}}[10];{{no}};{{yes}}[11];2004-08-11[12];2015-06-11 1.3.6[12];
Capistrano;Ruby;MIT License;;{{yes}}[2];;{{yes}}[2];{{no}};2005;2017-03-08 4.4.2;
cdist;Python;GPLv3+;{{yes}}[1];{{yes}}[2];;{{yes}};;2010;2018-04-20 4.8.4[13];
Chef;Ruby, Erlang;Apache 2.0;{{yes}}[14];{{yes}}[15];{{yes}}[16][17];{{no}};{{yes}};2009-01-15 0.5.0;2018-09-25 14.5.33 (client),[18] 2018-02-13 12.17.33 (server)[19];
CFEngine;C[20];GPLv3[21];{{yes}}[1];{{yes}}[22];{{yes}}[23][24];{{no}};;1993;2018-11-23 3.13.0[25], 2018-11-30 3.12.1[26], 2018-11-16 3.10.5[27];
ISconf;Python;GPL[28];{{yes}}[29];{{no}}[30];;;;1998;2006-08-13 4.2.8.233;
Juju;Python, Go[31];Affero General Public License;{{yes}}[1];{{yes}}[9];{{no}};{{no}};{{yes}}[32];2010-09-17[33];2017-03-16 1.2.1[34];
Local ConFiGuration system (LCFG);Perl;GPL;{{partial}}[35];{{partial}}[36];;;;1994;Weekly Releases;
NOC;Python;BSD License 2.0;{{yes}}[1];{{yes}}[2];{{yes}};{{yes}};{{yes}};2012-03-08;2015-05-20 15.05.1[37];
OCS Inventory NG with GLPI;Perl, PHP, C++;GPL;{{no}}[38];{{yes}}[9];;{{no}};;2003;2014-07-13[39];
Open pc server integration (Opsi);Python, Java;GPL;{{no}};{{yes}}[9];;{{no}};;2004;2013-03-01 4.0.3;
PIKT;C;GPLv2+[40];{{yes}}[41];{{yes}}[42];;{{no}};;1998[43];2007-09-10 1.19.0;
Puppet;C++ & Clojure from 4.0,[44] Ruby before then;Apache from 2.7.0, GPL before then;{{yes}}[45];{{yes}}[9];{{yes}}[46][47];{{no}};{{yes}}[48];2005-08-30[49];2017-05-11 4.10.1[50];
Quattor;Perl, Python;Apache 2.0[51][52];{{yes}}[53];{{yes}}[54];;;;2005-04-01[55];2017-10-31 17.8.0[56];
Radmind;C;BSD[57];{{yes}}[58];{{yes}}[59];;{{no}};;2002-03-26[60];2008-10-08 1.13.0[61];
Rex;Perl;Apache;{{yes}}[1];{{yes}}[2];;{{yes}};;2010-11-05 0.9.0[62];2017-12-03 1.6.0[63];
Rudder;C and Scala;GPLv3 and Apache 2.0[64];{{yes}}[1];{{yes}}[9];{{yes}}[65][66];{{no}};{{yes}};2011-10-31;2018-04-19 4.3.0[67];
SmartFrog;Java;LGPL;{{yes}}[68];{{yes}}[68];;{{no}};;2004-02-11;2009-01-26 3.16.004[69][70];
Salt[71];Python[72];Apache 2.0[73];{{yes}}[74];{{yes}}[74];{{yes}};Both[75][76];{{yes}}[77][78];2011-03-17 0.6.0[79];2017-09-25 v2018.3.3[80];
Spacewalk;Java (C, Perl, Python, PL/SQL);GPLv2;{{yes}};{{yes}};;{{no}};;2008-06[81];2018-04-19 2.8[82];
STAF;C++;CPL[83];{{no}}[84][85];{{partial}}[86];;{{no}};;1998-02-16[87];2012-12-16 3.4.16 [88];
Synctool[89];Python[90];GPLv2[91];{{yes}}[92];{{yes}}[2];{{yes}}[93];{{yes}}[94];;2003[95];2014-06-15 6.1[96];
;Language;License;Mutual auth;Encrypts;Verify mode;Agent-less;Have a GUI;First release;Latest stable release;
