;Creator;Latest release;User interface;Software license;Cost;
Analyze This;Comoe Networks;;Web GUI;N/A;{{dunno}};
Cain and Abel;Massimiliano Montoro;4.9.56 / April 7, 2014;GUI;{{Proprietary|Freeware}};{{free}};
Capsa;Colasoft;11.1 / {{release date|2018|04|24}}[1];GUI;{{Proprietary}};{{Partial|$0-$995, depending on version}}[2];
Carnivore;Federal Bureau of Investigation;{{dunno}};{{dunno}};N/A;{{dunno}};
Charles Web Debugging Proxy;Karl van Randow;4.1.4 / July 10, 2017;GUI;{{dunno}};$30-$50 (Free Trial);
Clarified Analyzer;Clarified Networks;;GUI;{{Proprietary}};{{Nonfree}};
Clusterpoint Network Traffic Surveillance System;Clusterpoint;;web GUI;{{Proprietary}};{{dunno}};
CommView;TamoSoft;6.5;GUI;{{Proprietary}};{{Nonfree|$299-$599, $149 1 year subscription}};
dSniff;Dug Song;2.3 / December 17, 2000[3];CLI;{{free|BSD License}};{{free}};
EtherApe;Juan Toledo;0.9.14 / {{dts|2016|02|06}}[4];GUI;{{free|GNU General Public License}};{{free}};
Ettercap;ALoR and NaGA;0.8.2-Ferri / March 14, 2015[5];Both;{{free|GNU General Public License}};{{free}};
Fiddler;Eric Lawrence;5.0.20182 / 28 June 2018;GUI;{{Proprietary|Freeware}};{{free}};
justniffer;The Justniffer team;0.5.15 / March 21, 2016[6];CLI;{{free|GNU General Public License}};{{free}};
Kismet;Mike Kershaw (dragorn);2016-01-R1 / January 31, 2016[7];CLI;{{free|GNU General Public License}};{{free}};
Microsoft Message Analyzer;Microsoft;1.4 / October 28, 2016 [8];GUI;{{Proprietary}};{{free}};
Microsoft Network Monitor;Microsoft;3.4 / June 24, 2010;GUI;{{Proprietary}};{{free}};
netsniff-ng;Daniel Borkmann;0.6.2 / November 7, 2016;CLI;{{free|GNU General Public License}};{{free}};
ngrep;Jordan Ritter;1.45 (11/18/06);CLI;{{free|BSD-style}};{{free}};
Observer;Viavi Solutions (formerly Network Instruments);;GUI;{{Proprietary}};{{Nonfree|Price on request}};
OmniPeek (formerly AiroPeek, EtherPeek);Savvius (formerly WildPackets);11.1 / November, 2017;GUI;{{Proprietary}};{{Nonfree|$1194-$5994, depending on version}}[9];
SteelCentral Transaction Analyzer;OPNET Technologies/Riverbed Technology;17.0.T-PL1 / June 9, 2014[10];GUI;{{Proprietary}};{{Nonfree}};
snoop;Sun Microsystems;Solaris 10 / December 11, 2006;CLI;{{free|CDDL}};{{free}};
tcpdump;The Tcpdump team;4.8.1 / {{dts|2016|10|25}}[11];CLI;{{free|BSD License}};{{free}};
Tranalyzer;The Tranalyzer team;0.7.5 / {{dts|2018|2|10}}[12];CLI;{{free|GNU General Public License}};{{free}};
Wireshark (formerly Ethereal);The Wireshark team;2.4.5 / {{dts|2018|02|23}}[13];Both;{{free|GNU General Public License}};{{free}};
Xplico;The Xplico team;1.2.0 / {{release date|2017|02|01}}[14];Both;{{free|GNU General Public License}};{{free}};
