Name;Panorama leveling;Vignetting correction;Lens distortion correcting;White balance correction;Exposure correction;Viewpoint adjustment;Notes;
Panoweaver Standard / Professional[8];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;
Dermandar;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{no}};;
i2Align Quickage Express / Pro[9];{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{no}};;
Pixtra PanoStitcher[10];{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};Also chromatic aberration correction if correction parameters provided;
Pixtra OmniStitcher;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};Also chromatic aberration correction if correction parameters provided;
QuickPHOTO;{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};;
PhotoFit Harmony / Premium[11];{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{no}};;
PanoramaPlus X4[12];{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};;
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};;
360 Panorama Professional;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};;
VRstitcher Fisheye Pro[13];{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{no}};;
COOL 360;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};;
PanaVue ImageAssembler Std. / Pro. / Ent.[14];{{yes}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{no}};;
The Panorama Factory v5[15];{{dunno}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{no}};;
PixMaker Lite / Home / Business;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};;
PTAssembler[16];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};;
PTgui / PTgui Pro;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[17];;
Autopano Pro / Giga / Server;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}*[18];(*) Giga only.;
Autostitch;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};;
Calico Panorama;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};;
Hugin;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}[19];;
3DVista Stitcher 3.0;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};;
D Joiner[20];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;
Panorama Maker 6;{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};;
Photovista Panorama[21];{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};;
PanoramaStudio / Pro [22];{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{no}};;
Stitcher Unlimited 2009;{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};;
ADG Panorama Tools / Pro;{{yes}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{no}};;
Panorama Composer 3[23];{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{no}};;
Image Composite Editor;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};;
Panorama Perfect[24];{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{no}};;
Photoshop;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};;
AIPR Lite 1;{{no}};{{yes}}*;{{yes}};{{no}};{{no}};{{no}};(*) color mapping about the seams greatly mitigates the effects of vignetting;
Gigapan Stitch 1.0;{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};
PanoramaMaker;{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{no}};
Panorama Stitcher;{{yes}};{{yes}};{{yes}}*;{{no}};{{yes}};{{yes}};(*) Only for rectilinear lenses;
SharpStitch;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};;
Pano2VR / Pano2VR pro[25];{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};;
Name;Panorama leveling;Vignetting correction;Lens distortion correcting;White balance correction;Exposure correction;Viewpoint adjustment;Notes;
