Name;Raster images (JPEG, TIFF, etc.);Flash viewer;Java viewer;QTVR;HTML 5*;Notes;
Panoweaver Standard / Professional;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};Includes free Flash and HTML5 viewer.;
Dermandar;{{yes}};{{yes}};{{no}};{{no}};{{yes}};Includes free Flash and HTML5 viewer.;
i2Align Quickage Express / Pro;{{yes}};{{no}};{{no}};{{no}};{{no}};;
Pixtra PanoStitcher;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};Includes ActiveX viewer & export.;
Pixtra OmniStitcher;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};Includes ActiveX viewer & export.;
QuickPHOTO;{{yes}};{{no}};{{no}};{{no}};{{no}};;
PhotoFit Harmony / Premium;{{yes}};{{no}};{{no}};{{yes}};{{no}};;
PanoramaPlus X4;{{yes}};{{no}};{{no}};{{yes}};{{no}};Flickr export.;
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro;{{yes}};{{yes}}*;{{no}};{{no}};{{no}};(*) Planar viewer.;
360 Panorama Professional;{{yes}};{{no}};{{yes}};{{yes}};{{no}};;
VRstitcher Fisheye Pro;{{yes}};{{no}};{{yes}};{{dunno}};{{no}};;
COOL 360[26];{{yes}};{{no}};{{no}};{{yes}};{{no}};Embedding of panoramas into executables (.exe) and Microsoft Office files. ActiveX viewer.;
PanaVue ImageAssembler Std. / Pro. / Ent.;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};;
The Panorama Factory v5;{{yes}};{{no}};{{yes}};{{yes}};{{no}};;
PixMaker Lite / Home / Business;{{yes}};{{dunno}};{{dunno}};{{dunno}};{{no}};;
PTAssembler;{{yes}};{{no}};{{no}};{{no}};{{no}};;
PTgui / PTgui Pro;{{yes}};{{no}};{{no}};{{yes}};{{yes}}[27];;
Autopano Pro / Giga / Server;{{yes}};{{yes}};{{no}};{{no}};{{no}};;
Autostitch;{{yes}};{{no}};{{no}};{{no}};{{no}};;
Calico;{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};;
Hugin;{{yes}};{{no}};{{no}};{{no}};{{no}};;
3DVista Stitcher 3.0;{{yes}};{{no}};{{no}};{{no}};{{no}};;
D Joiner;{{yes}};{{dunno}};{{yes}};{{no}};{{no}};;
Panorama Maker 6;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};;
Photovista Panorama;{{yes}};{{no}};{{yes}};{{no}};{{no}};IVR export.;
PanoramaStudio / pro[28];{{yes}};{{yes}};{{yes}};{{no}};{{yes}};;
Stitcher Unlimited 2009;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};VRML export.;
ADG Panorama Tools / Pro;{{yes}};{{no}};{{yes}};{{yes}};{{no}};;
Panorama Composer 3;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};Includes ActiveX viewer & export.;
Image Composite Editor;{{yes}};{{no}};{{no}};{{no}};{{no}};Publish to Photosynth website, Silverlight based viewer.;
Panorama Perfect;{{yes}};{{no}};{{no}};{{no}};{{no}};;
Photoshop;{{yes}};{{no}};{{no}};{{no}};{{no}};;
AIPR Lite 1;{{yes}};{{no}};{{no}};{{no}};{{no}};;
Gigapan Stitch 1.0;{{yes}};{{yes}};{{no}};{{no}};{{no}};3D viewer in stitcher / Publishing to gigapan.org 2D flash viewer / Embeddable flash viewer;
PanoramaMaker;{{yes}};{{no}};{{no}};{{no}};{{no}};;
PanoEdit;{{yes}};{{no}};{{no}};{{no}};{{no}};;
SharpStitch;{{yes}};{{no}};{{no}};{{no}};{{no}};;
Pano2VR / Pano2VR pro;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};;
Name;Raster images (JPEG, TIFF, etc.);Flash viewer;Java viewer;QTVR;HTML 5*;Notes;
