Name;Guest OS SMP available;Runs arbitrary OS;Supported guest OS drivers;Method of operation;Typical use;Speed relative to host OS;Commercial support available;
Containers, or Zones;{{Yes}}, over 500-way on current systems;{{No}};Uses native device drivers;Operating system-level virtualization;Server consolidation with workload isolation, single workload containment, hosting, dev/test/prod;Near native;{{Yes}};
Hyper-V Server 2008 R2;{{Yes}}, up to 4 VCPUs per VM;{{Yes}};{{Yes}};Virtualization;Server consolidation, service continuity, dev/test, desktop virtualization, cloud computing;Up to near native{{Citation needed|date=November 2010}}{{ref|osvirt}};{{Yes}};
OpenVZ;{{yes}};{{no}};Compatible;Operating system-level virtualization;Virtualized server isolation;Up to near native{{Citation needed|date=November 2010}}{{ref|osvirt}};{{yes}};
KVM;{{yes}}[12];{{yes}};{{yes}};AMD-V and Intel-VT-x;Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes;Up to near native{{Citation needed|date=November 2010}}{{ref|osvirt}};{{Yes}}[13];
Linux-VServer;{{yes}};{{no}};Compatible;Operating system-level virtualization;Virtualized server isolation and security, server consolidation, cloud computing;Up to near native{{Citation needed|date=November 2010}}{{ref|osvirt}};{{Yes}};
Oracle VM Server for x86;{{yes}};{{yes}};{{yes}};Paravirtualization and hardware virtualization;Server consolidation and security, enterprise and business deployment;Up to near native{{Citation needed|date=November 2010}};{{yes}};
Oracle VM Server for SPARC (LDoms);{{yes}};{{Yes}}, but needs porting[14];{{yes}};Paravirtualization and hardware virtualization;Server consolidation and security, enterprise and business deployment;Up to near native{{Citation needed|date=November 2010}};{{yes}};
OVPsim;{{Yes}};{{Yes}};{{dunno}};Full system simulation with optional component virtualization;Software development (early, embedded), advanced debug for single and multicore software, compiler and other tool development, computer architecture research, hobbyist;Depends on target architecture (full and slow hardware emulation for guests incompatible with host){{Citation needed|date=November 2010}};{{Yes}}, with commercial license from Imperas[15];
PikeOS;{{Yes}};{{Yes}}, but modifications required as paravirtualization is used;{{Yes}};Paravirtualization;Safety and security critical embedded systems.;Up to near native{{Citation needed|date=November 2010}};{{Yes}};
