Name;Can boot an OS on another disk partition as guest;USB support;GUI;Live memory allocation;3D acceleration;Snapshots per VM;Snapshot of running system;Live migration;Shared folders;Shared clipboard;PCI passthrough;
KVM;{{yes}};{{yes}};{{yes}}[22];{{yes}};{{yes}} (via AIGLX);{{yes}};{{yes}}[23];{{yes}}[24];;;{{yes}};
User Mode Linux;{{yes}};{{no}};{{no}};{{no}};{{no}};;;{{no}};{{yes}};N/A;;
Containers, or Zones;{{yes}};{{yes}};{{yes}};{{yes}};Not needed;{{yes}}[25];{{yes}};{{no}};{{yes}};Not needed;Not needed;
DosBox;{{no}};{{no}};{{partial|SVN builds only}};{{no}};{{partial|Glide (SVN builds only)}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};
Oracle VirtualBox (formerly OSE, GPLv2);{{yes}};{{yes|USB 1.1 only}};{{yes}};{{yes}};{{no}};{{yes}} branched[26];{{yes}};{{yes}};{{no}};{{no}};{{no}};
Oracle VirtualBox with Extension Pack and Guest Additions (PUEL);{{yes}};{{yes}};{{yes}};{{yes}};{{yes| OpenGL 2.0 and Direct3D 8/9[27]}};{{yes}} branched[26];{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Linux only[28]}};
Oracle VM Server for SPARC (LDoms);{{yes}};{{yes|USB 2.0}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};
OKL4 Microvisor;{{yes}};{{yes}};VMs only;{{yes}};{{yes}};;;{{no}};;;{{partial|Static assignment}};
Virtual Iron 4.2;;;;;;;;{{yes}};;;;
Virtual PC 2007;{{no}};{{no}};{{yes}};{{no}};{{no}};;;{{no}};{{yes}};{{yes}};;
Windows Virtual PC;{{no}};{{partial|partially}};{{yes}};{{no}};{{no}};;;{{no}};{{yes}};{{yes}};;
VirtualPC 7 for Mac;{{no}};{{yes}};{{yes}};{{yes}};{{no}};;;{{no}};{{yes}};{{yes}};;
Microsoft Virtual Server 2005 R2;;{{no}};{{yes}};{{no}};{{no}};?;{{yes}};{{no}};;;;
Microsoft Hyper-V Server 2008 R2;{{yes}};{{partial|Partial support over remote desktop connections}} {{ref|Hyper-V-USBRedirection}};{{yes}};{{yes}};{{yes|DirectX 9.0c}} {{ref|Hyper-V-3DAcceleration}} (via RemoteFX);{{yes}} branched;{{yes}};{{yes}};;;{{no}};
Microsoft Hyper-V Server 2012 R2;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|DirectX 9.0c}} {{ref|Hyper-V-3DAcceleration}} (via RemoteFX);{{yes}} branched;{{yes}};{{yes}};;;{{no}};
Virtuozzo;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};;;{{yes}};;;;
VMware ESX Server 3.0 atp;;;{{yes}};;{{no}};?;{{yes}};{{yes}};;;{{no}};
VMware ESX Server 2.5.3;;;{{yes}};;{{no}};;;;;;{{no}};
VMware ESX Server 4.0 (vSphere);{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};?;{{yes}};{{yes}};;;{{yes}}[29];
VMware Fusion 2.0;{{yes}};{{yes}};{{yes}};{{no}};{{yes|DirectX 9 Shader model 2}};;;{{no}};;;{{no}};
VMware Server;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};1;{{yes}};{{no}};{{yes}};{{yes}};;
VMware Workstation 5.5;{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Experimental support for DirectX 8}}; also supported with VMGL[30];{{yes}} branched;{{yes}};{{no}};{{yes}};{{yes}};{{no}};
VMware Workstation 6.0;{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Experimental support for DirectX 8}}; Also supported with VMGL[30];{{yes}} branched;{{yes}};{{no}};{{yes}};{{yes}};{{no}};
VMware Workstation 7.0 and 8.0;{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Support for DirectX 9.0c Shader Model 3 and OpenGL 2.13D}}.[31];{{yes}} branched;{{yes}};{{no}};{{yes}};{{yes}};{{no}};
VMware Player;{{yes}};{{yes}};{{yes}};{{yes}};supported with VMGL[30];{{no}};{{no}};{{no}};{{yes}};;{{no}};
Wind River hypervisor;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};;;{{no}};;;;
Wind River VxWorks MILS Platform;{{yes}};;;;;;;;;;;
Xen;{{yes}};{{yes}}[32];{{yes}}[22];{{yes}};Supported with VMGL[30];?;{{yes}};{{yes}};;;{{yes}};
XenServer;{{yes}};;{{yes}}[22];{{yes}};Supported with VMGL[30];{{yes}};{{yes}};{{yes}};;;{{yes}};
z/VM;{{yes}};Not applicable;{{yes}} (zURM/HMC);{{yes}};Not applicable;;;{{yes}} (2011);;Not applicable;Not applicable;
z LPARs;{{yes}};Not applicable;{{yes}} (HMC);{{yes}};Not applicable;;;{{yes}} (2007);;Not applicable;Not applicable;
Name;Can boot an OS on another disk partition as guest;USB;GUI;Live memory allocation;3D acceleration;Snapshots per VM;Snapshot of running system;Live migration;Shared folders;Shared clipboard;PCI passthrough;
