Example usage;Languages;
String.Trim([chars]);C#, VB.NET, Windows PowerShell;
string.strip();;D;
(.trim string);Clojure;
sequence [ predicate? ] trim;Factor;
(string-trim '(#\Space #\Tab #\Newline) string);Common Lisp;
(string-trim string);Scheme;
string.trim();Java, JavaScript (1.8.1+, Firefox 3.5+);
Trim(String);Pascal,[22] QBasic, Visual Basic, Delphi;
string.strip();Python;
strings.Trim(string, chars);Go;
LTRIM(RTRIM(String));Oracle SQL, T-SQL;
strip(string [,option, char]);REXX;
string:strip(string [,option, char]);Erlang;
string.strip or string.lstrip or string.rstrip;Ruby;
string =~ s/^\s+//r =~ s/\s+$//r;Perl 5;
string.trim;Perl 6;
trim(string);PHP, Perl 6;
[string stringByTrimmingCharactersInSet:[NSCharacterSet whitespaceAndNewlineCharacterSet]];Objective-C using Cocoa;
string withBlanksTrimmed string withoutSpaces string withoutSeparators;Smalltalk (Squeak, Pharo) Smalltalk;
strip(string);SAS;
string trim $string;Tcl;
TRIM(string) or TRIM(ADJUSTL(string));Fortran;
TRIM(string);SQL;
TRIM(string) or LTrim(string) or RTrim(String);ColdFusion;
String.trim string;OCaml 4+;
