Language;In-line comment;Block comment;
Ada, Eiffel, Euphoria, Occam, SPARK, ANSI SQL, and VHDL;-- InlineComment;;
ALGOL 60;;comment BlockComment;;
ALGOL 68;;¢ BlockComment ¢ comment BlockComment comment co BlockComment co # BlockComment # £ BlockComment £;
APL;? InlineComment;;
AppleScript;-- InlineComment;(* BlockComment *);
Assembly language (varies);; InlineComment   one example (most assembly languages use line comments only);;
AutoHotkey;; InlineComment;/* BlockComment */;
AWK, Bash, Bourne shell, C shell, Maple, R, Tcl, and Windows PowerShell;# InlineComment;<# ''BlockComment'' #></code>;
BASIC (various dialects):;'InlineComment (not all dialects) REM InlineComment;;
C (K&R, ANSI/C89/C90), CHILL, PL/I, and REXX;;/* BlockComment */;
C (C99), C++, Go, and JavaScript;// InlineComment;/* BlockComment */;
C#;// InlineComment /// InlineComment (XML documentation comment);/* BlockComment */ /** BlockComment */ (XML documentation comment);
COBOL I to COBOL 85;* InlineComment (* in column 7);;
COBOL 2002;*> InlineComment;;
Curl;|| InlineComment;|# BlockComment #| |foo# BlockComment #|;
Cobra;# InlineComment;/# BlockComment #/ (nestable);
D;// InlineComment /// Documentation InlineComment (ddoc comments);/* BlockComment */ /** Documentation BlockComment */ (ddoc comments) /+ BlockComment +/ (nestable) /++ Documentation BlockComment +/ (nestable, ddoc comments);
DCL;$! InlineComment;;
ECMAScript (JavaScript, ActionScript, etc.);// InlineComment;/* BlockComment */;
Forth;\ InlineComment;( BlockComment ) (single line as well as multiline) ( before -- after ) stack comment convention;
FORTRAN I to FORTRAN 77;C InlineComment (C in column 1);;
Fortran 90;! InlineComment;;
Haskell;-- InlineComment;{- BlockComment -};
Java;// InlineComment;/* BlockComment */ /** BlockComment */ (Javadoc documentation comment);
Lisp and Scheme;; InlineComment;#| BlockComment |#;
Lua;-- InlineComment;--[==[ BlockComment]==] (variable number of = signs);
Maple;# InlineComment;(* BlockComment *);
Mathematica;;(* BlockComment *);
Matlab;% InlineComment;%{ BlockComment (nestable) %} Note: Both percent–bracket symbols must be the only non-whitespace characters on their respective lines.;
Object Pascal (Delphi);// InlineComment;(* BlockComment *) { BlockComment };
OCaml;;(* BlockComment (* nestable *) *);
Pascal, Modula-2, Modula-3, Oberon, and ML:;;(* BlockComment *);
Perl and Ruby;# InlineComment;=begin BlockComment =cut (=end in Ruby) (POD documentation comment) __END__ Comments after end of code;
Perl 6;# InlineComment;#`{ BlockComment } =comment     This comment paragraph goes until the next POD directive     or the first blank line.[18][19];
PHP;# InlineComment // InlineComment;/* BlockComment */ /** Documentation BlockComment */ (PHP Doc comments);
PILOT;R:InlineComment;;
PLZ/SYS;;! BlockComment !;
PL/SQL and TSQL;-- InlineComment;/* BlockComment */;
Python;# InlineComment;''' BlockComment ''' """ BlockComment """ (Documentation string when first line of module, class, method, or function);
Rust;// InlineComment /// InlineComment ("Outer" rustdoc comment) //! InlineComment ("Inner" rustdoc comment);/* BlockComment */ (nestable) /** BlockComment */ ("Outer" rustdoc comment) /*! BlockComment */ ("Inner" rustdoc comment);
SAS;;* BlockComment; /* BlockComment */;
Seed7;# InlineComment;(* BlockComment *);
Simula;;comment BlockComment; ! BlockComment;;
Smalltalk;;"BlockComment";
Smarty;;{* BlockComment *};
Standard ML;;(* BlockComment *);
TeX, LaTeX, PostScript, Erlang, Elixir and S-Lang;% InlineComment;;
Texinfo;@c InlineComment @comment InlineComment;;
TUTOR;* InlineComment command $$ InlineComment;;
Visual Basic;' InlineComment Rem InlineComment;;
Visual Basic .NET;' InlineComment ''' InlineComment (XML documentation comment) Rem InlineComment;;
Visual Prolog;% InlineComment;/* BlockComment */;
Wolfram Language;;(* BlockComment *);
Xojo;' InlineComment // InlineComment rem InlineComment;;
