 ;Selection editing;Layers;Histogram;Scripting;HDR;Retouching;Resizing;Noise removal;Lens correction;Sized Printing;Sharpening;Color correction;Image library;Plug-in support[15];Non-destructive editing;
Ability Photopaint;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
ACD Canvas;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};{{yes}};{{no}};{{dunno}};
ACDSee (Win);{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{no}};{{partial}};
Acorn Image Editor;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{Yes}};{{Yes}};{{Yes}};{{No}};{{dunno}};{{Yes}};{{Yes}};{{No}};{{Yes}};{{Yes}};
Adobe Fireworks*;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Adobe Photoshop;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}} (Through Mini Bridge);{{yes}};{{partial}};
Adobe Photoshop Lightroom;{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Affinity Photo;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
Aperture;{{yes}};{{partial}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Autodesk SketchBook Pro;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Artipic;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};
ArtRage;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};
Artweaver;{{yes}};{{yes}};{{no}};{{partial|Via plug-in[16]}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
Bibble*;{{partial}};{{partial}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Bloom Image Editor;{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};
Brush Strokes Image Editor;{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Capture One;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Chasys Draw IES;{{yes}};{{yes}};{{yes}};{{yes}};{{partial}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
CinePaint;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
CodedColor PhotoStudio Pro;{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Corel PaintShop Pro;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
Corel Painter;{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{dunno}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};
Corel Photo-Paint;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
darktable;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};
Deluxe Paint*;{{no}};{{partial}}[17];{{partial}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};{{no}};{{no}};{{dunno}};{{no}};{{dunno}};
DigiKam;{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Erdas Imagine;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
Fatpaint;{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};
Fotografix;{{yes}};{{yes}};{{no}};{{partial}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{dunno}};
GIMP;{{yes}};{{yes}};{{yes}};{{yes}};{{partial|Via plug-in[18]}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};
GIMPshop;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
GraphicConverter;{{yes}};{{partial}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{partial|Via plug-in}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{dunno}};
HDR PhotoStudio;{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
Helicon Filter;{{partial}};{{no}}[19];{{yes}};{{no}}[20];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{dunno}};
iPhoto*;{{no}};{{no}};{{yes}};{{partial}}[21];{{no}};{{yes}};{{partial}};{{yes}};{{partial}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
IrfanView;{{yes}};{{no}};{{yes}};{{no}};{{no}};{{partial|Via plug-in}}[22];{{yes}};{{no}};{{no}};{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{dunno}};
Iridient Developer;{{dunno}};{{yes}};{{yes}};{{dunno}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Kolourpaint;{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
Krita;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};
LiveQuartz;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{dunno}};{{yes}};{{yes}};{{no}};{{no}};{{partial}};
MacPaint*;{{yes}};{{no}};{{no}};{{no}};{{no}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
