Software;Developer;First public release;Latest stable release date;Latest stable version;Cost (USD);Free software;License;Notes;
Aigaion;Aigaion developers;2005-01;2013-05-08;2.2;{{free}};{{yes}};{{GPL-lic}};web-based (Apache, PHP, MySQL);
Bebop;ALaRI Institute;2007-11-08;2009-11-10;1.1;{{free}};{{yes}};{{BSD-lic}};web-based BibTeX front-end (Apache, PHP, MySQL);
BibBase;Christian Fritz;2005;2013-07;v3;{{free}};{{no}};{{proprietary}};centrally hosted website, intended for publication pages;
BibDesk;BibDesk developers;2002-04;2017-11-28;1.6.13;{{free}};{{yes}};{{BSD-lic}};BibTeX front-end + repository; Cocoa-based; integration with Spotlight;
Biblioscape;CG Information;1997;2015-06-22;10.0.3.6;{{nonfree|US$79-299[1]}};{{no}};{{proprietary}};ODBC; web access in Pro ed; optional client/server; discontinued?;
BibSonomy;University of Kassel;2006-01;2018-07-30;3.8.13;{{free}};{{yes}};{{free |AGPL, GPL, LGPL[2]}};centrally hosted website;
Bibus;Bibus developers;2004-06-03;2013-05-23;1.5.1;{{free}};{{yes}};{{GPL-lic}};discontinued?;
Bookends;Sonny Software;1988 (Mac) / 1983 (Apple II+);2018-05-12;13.0.9 [3];{{nonfree|US$60[1]}};{{no}};{{proprietary}};integrated web search, pdf download, auto-completion;
Citavi;Swiss Academic Software;2006-02-13;2018-05-03;6.1;{{depends|US$70-949 / Free for projects up to 100 references[4]}};{{no}};{{proprietary}};data can be saved locally on the computer, or, for team access, in the Citavi Cloud or an intranet Microsoft SQL Server;[5] search databases from interface[6];
CiteULike;Oversity Limited;2004-11;{{dunno}};;{{free}};{{no}};{{proprietary |proprietary[7]}};centrally hosted website;
colwiz;colwiz Ltd;2011;2016-05-09;;{{free|Free / Online storage free up to 3 GB / Additional storage space available}};{{no}};{{proprietary}};Desktop (Win, Mac, Linux) & Web components, iOS and Android;
EndNote;Clarivate Analytics;1988;2018-01-09;X8.2;{{nonfree|US$299.95[1]}};{{no}};{{proprietary}};The web version EndNote basic (formerly, EndNote Web) is free of charge;
F1000Workspace;F1000/Science Navigation Group;2015-05;Continually updated online;;{{nonfree|Institutional access – varies with size of institute / Personal subscription $9.99/month / Free Trial Version}};{{No}};{{proprietary}};Web-based, Microsoft Word plug-in (Win, Mac), Google Docs add-on, browser extension(s) Chrome, Firefox, Safari, Opera, Internet Explorer 11, mobile app available;
I, Librarian;Scilico, LLC;2015-03-15;2018-04-10;4.10;{{free|Free Self-hosted / Web-hosted plans available}};{{yes}};GNU GPLv3;web-based with support for local hosting (Apache, PHP, SQLite);
JabRef;JabRef developers;2003-11-29;2018-06-05;4.3.1;{{free}};{{yes}};MIT license;Java BibTeX and BibLaTeX manager;
KBibTeX;KBibTeX developers;2005-08;2018-06-21;0.8.1;{{free}};{{yes}};{{GPL-lic}};BibTeX front-end, using the KDE Software Compilation;
Mendeley;Elsevier;2008-08;2018;1.18;{{free|Free / Online storage free up to 2 GB / Additional storage space available}};{{no}};{{proprietary |proprietary (OS API clients exist)}};Account required, Desktop & Web components, Windows, Linux, OS X, iPhone & iPad, Android;
Paperpile;Stefan Washietl, Gregorgy Jordan, Andreas Gruber;2013;Continually updated online;;{{nonfree|US$2.99/month for academics, 9.99/month otherwise}};{{no}};{{proprietary}};web-application, integrates with Google Docs, collaboration & sharing features, currently only on Google Chrome;
Papers;Labtiva;2007;2016-05-11;3.4.5;{{nonfree|US$79[1]}};{{no}};{{proprietary}};search repositories from interface; supports plug-ins, Universal iOS app;
Pybliographer;pybliographer developers;1998-10-30 (0.2);2018-04-03;1.4.0;{{free}};{{yes}};{{GPL-lic}};Python/GTK2;
Qiqqa;Qiqqa;2010-04;2016-09;v79;{{free|Free, Freemium and Premium versions}};{{No}};{{proprietary}};Desktop; Tablet; Web; Intranet;
ReadCube;Labtiva;2011-10;2016-09-20;v2.22.13732;Free desktop & mobile app / Cloud Storage $5/month, $55/year;{{No}};{{proprietary}};Desktop (Mac/PC) & Web components, personalized recommendations, private group sharing, integrated web search, enhanced PDF reader, iOS App, Android;
refbase;refbase developers;2003-06-03;2014-02-28;0.9.6;{{free}};{{yes}};{{GPL-lic}};web-based for institutional repositories/self-archiving[8];
RefDB;refdb developers;2001-04-25;2007-11-05;0.9.9;{{free}};{{yes}};{{GPL-lic}};network-transparent; XML/SGML bibliographies;
Reference Manager;Thomson Reuters;1984;2010;12.0.3;{{nonfree|Not for sale anymore, sales ceased December 31, 2015}};{{no}};{{proprietary}};network version; built-in web publishing tool; discontinued;
Referencer;Referencer developers;2008-03-15;2014-02-27;1.2.2;{{free}};{{yes}};{{GPL-lic}};BibTeX front-end;
RefWorks;Ex Libris / ProQuest;2001;2018;3;{{nonfree|Institutional subscription}};{{no}};{{proprietary}};web-based, browser-accessed, Word & Google Docs;
