Software;BibTeX;Copac;CSA;Endnote/Refer/BibIX;ISI;Medline;MODS XML;Ovid;PubMed;RIS;SciFinder;Other;
Aigaion;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no|none}};
Bebop;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
BibBase;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no|none}};
BibDesk;{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes|MARC, JSTOR, Reference Miner}};
Biblioscape;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};?;
BibSonomy;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes|Firefox bookmarks}};
Bibus;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no|none}};
Bookends;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various [2]; user-customizable}};
Citavi;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various}};
CiteULike;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no|none}};
colwiz;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes| with built-in browser, bookmarklet}};
EndNote;{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various[19]}};
F1000Workspace;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{no}};{{yes|EndNote XML, NBIB from PubMed, Medline, PDF}};
JabRef;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|BibTexML, Biblioscape, Biomail, Inspec, JSTOR, MSBib, PDF widh XMP annotations, REPEC (NEP), SilverPlatter, SixPack}};
KBibTeX;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{depends}}[17];{{no}};{{yes}};{{yes}};{{no}};{{no|none}};
Mendeley;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes|Browser bookmarks}};
Paperpile;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes|PDF}};
Papers;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes|Endnote ENW, Endnote XML, CHM eBook, PDF}};
Pybliographer;{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no|none}};
Qiqqa;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no|none}};
ReadCube;{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no|none}};
refbase;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes|RefWorks}};
RefDB;{{yes}};{{yes}}[17];{{no}};{{yes}}[17];{{yes}}[17];{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}}[17];{{yes|MARC, risx}};
Reference Manager;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various;[20] user-customizable}};
Referencer;{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{yes}};{{no}};{{no|none}};
RefWorks;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|various[21]}};
SciRef;{{no}};{{no}};{{no}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};?;
Sente;{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{no}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes|Dublin Core, Marc21 SUTRS, JSTOR, SilverPlatter}};
Wikindx;{{yes}};{{depends}}[17];{{no}};{{yes}}{{Citation needed|date=April 2009}};{{depends}}[17];{{no}};{{depends}}[17];{{no}};{{yes}}{{Citation needed|date=April 2009}};{{yes}}{{Citation needed|date=April 2009}};{{no}};{{yes|ISI, BibReX LaTeX}};
WizFolio;{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};{{yes|Internet Browser bookmarks[22]}};
Zotero[23];{{yes}};{{no}}[24];{{no}}[24];{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes|COinS, MARC, RDF, unAPI, Browser bookmarks}}, Endnote XML;
