Software;Passworded;Networking;
User-specific permissions[43];Simultaneous write access;
Aigaion;{{yes}};{{yes}};{{yes}};
Bebop;{{no}};{{n/a}};{{n/a}};
BibBase;{{n/a}};{{n/a}};{{n/a}};
BibDesk;{{yes}};{{no}};{{no}};
Biblioscape;{{yes}};{{yes}};{{yes}};
BibSonomy;{{yes}};{{yes}};{{yes}};
Bibus;{{dunno}};{{dunno}};{{dunno}};
Bookends;{{dunno}};{{dunno}};{{dunno}};
Citavi;{{yes}}[44];{{yes}};{{yes}};
CiteULike;{{yes}};{{no}};{{yes}};
colwiz;{{yes}};{{yes}};{{yes}};
EndNote;{{yes}};{{no}}[45];{{no}}[45];
F1000Workspace;{{yes}};{{yes}};{{yes}};
JabRef;{{no}};{{no}};{{partial}};
KBibTeX;{{no}};{{n/a}};{{n/a}};
Mendeley;{{yes}}[46];{{yes}};{{yes}};
Paperpile;{{yes}}[47];{{yes}};{{yes}};
Papers;{{dunno}};{{dunno}};{{dunno}};
Pybliographer;{{dunno}};{{dunno}};{{dunno}};
Qiqqa;{{yes}};{{yes}};{{yes}};
ReadCube;{{yes}};{{yes}};{{no}};
refbase;{{yes}};{{yes}};{{yes}};
RefDB;{{yes}};{{yes}};{{yes}};
Reference Manager;{{yes}};{{no}};{{yes}};
Referencer;{{dunno}};{{dunno}};{{dunno}};
RefWorks;{{yes}};{{dunno}};{{yes}};
Sente;{{yes}};{{yes}};{{yes}};
Wikindx;{{yes}};{{yes}};{{yes}};
WizFolio;{{yes}};{{yes}};{{yes}};
Zotero;{{yes}}[48];{{yes}};{{yes}};
