Name;Official website;Programming language;Software license;Used by;
Boost.Regex{{R|group=Note|boost_regex_formerly_regex}};Boost C++ Libraries;C++;{{free|Boost}};Notepad++ >= 6.0.0, EmEditor;
Boost{{Not a typo|.}}Xpressive;Boost C++ Libraries;C++;{{free|Boost}}; ;
CL-PPCRE;Edi Weitz;Common Lisp;{{free|BSD}}; ;
cppre;Jeff Stuart;C++;{{free|GPL}}; ;
DEELX;RegExLab;C++;{{free}} personal and commercial use; ;
FREJ{{R|group=Note|fuzzy_regexp_libraries}};Fuzzy Regular Expressions for Java;Java;{{free|LGPL}}; ;
GLib/GRegex{{R|group=Note|glib_gregex_version}};GLib reference manual;C;{{free|LGPL}}; ;
GRETA;Microsoft Research;C++;{{dunno}}; ;
Helios RXPF;Titan IC;RTL;{{Proprietary}};hardware accelerated regex engine for cybersecurity OEMs;
Hyperscan;Intel;C, x86-specific assembly (SSSE3+[1]);{{free|3-clause BSD}};Rspamd;
ICU;International Components for Unicode;C, C++{{R|group=Note|icu4j}};{{free|ICU}};Foundation (Apple and Swift open-source versions);
Jakarta/Regexp;The Apache Jakarta Project;Java;{{free|Apache}}; ;
java.util.regex;Java's User manual;Java;{{Proprietary}} Java license;jEdit;
JRegex;JRegex;Java;{{free|BSD}}; ;
MATLAB;Regular Expressions;MATLAB Language;MATLAB, The Language of Technical Computing; ;
Oniguruma;Kosako;C;{{free|BSD}};Atom, Take Command Console, Tera Term, TextMate, Sublime Text, SubEthaEdit, EmEditor and jq;
Pattwo;Stevesoft;Java (compatible with Java 1.0);{{free|LGPL}}; ;
PCRE;pcre.org;C, C++{{R|group=Note|pcre_cpp}};{{free|BSD}};Apache HTTP Server, Nginx, Julia, HHVM, Notepad++ < 6.0.0, PHP;
Qt/QRegExp;Digia;C++;{{free|Qt GNU GPL v. 3.0, Qt GNU LGPL v. 2.1, Qt Commercial}};Kate, Kile;
regex - Henry Spencer's regular expression libraries;ArgList;C;{{free|BSD}}; ;
RE2;RE2;C++;{{free|BSD}}; ;
Henry Spencer's Advanced Regular Expressions;Tcl;C;{{free|BSD}}; ;
RGX;RGX;C++ based component library;{{proprietary|P6R}}; ;
SubReg;Matt Bucknall;C;{{free|MIT}}; ;
TPerlRegEx;TPerlRegEx VCL Component;Object Pascal;{{free|MPLv1.1}}; ;
TRE{{R|group=Note|fuzzy_regexp_libraries}};Ville Laurikari;C;{{free|BSD}}; ;
TRegExpr;RegExp Studio;Object Pascal;{{partial|Dual-license: freeware, or LGPL with static linking exception}};Total Commander;
XRegExp;XRegExp;JavaScript;{{free|MIT}}; ;
Wolfram Language (Mathematica);Wolfram Language Documentation Center;Wolfram Language;;Mathematica, the Wolfram Development Platform;
