;"+" quantifier;Negated character classes;Non-greedy quantifiers{{R|group=Note|non_greedy}};Shy groups{{R|group=Note|shy}};Recursion;Look-ahead;Look-behind;Backreferences{{R|group=Note|backref}};>9 indexable captures;
Boost.Regex;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{R|group=Note|boost_regex_recursion}};{{yes}};{{yes}};{{yes}};{{yes}};
Boost.Xpressive;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{R|group=Note|xpressive_recursion}};{{yes}};{{yes}};{{yes}};{{yes}};
CL-PPCRE;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{yes}};
EmEditor;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{No}};
FREJ;{{No}}{{R|group=Note|frej_non_greedy}};{{No}};{{Some}}{{R|group=Note|frej_non_greedy}};{{yes}};{{No}};{{No}};{{No}};{{yes}};{{yes}};
GLib/GRegex;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
GNU grep;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{dunno}};
Haskell;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{yes}};
Helios RXPF;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{No}};{{No}};{{yes}};{{yes}};
ICU Regex;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{yes}};
Java;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{yes}};
JavaScript (ECMAScript);{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{No}};{{yes}};{{yes}};
JGsoft;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{yes}};
Lua;{{yes}};{{yes}};{{Some}}{{R|group=Note|lua_non_greedy}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
.NET;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{yes}};
OCaml;{{yes}};{{yes}};{{no}};{{no}};{{no}};{{no}};{{no}};{{yes}};{{no}};
OmniOutliner 3.6.2;{{yes}};{{yes}};{{yes}};{{No}};{{No}};{{No}};{{No}};{{dunno}};{{dunno}};
PCRE;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Perl;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
PHP;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
Python;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}}{{R|group=Note|python_regex_only2}};{{yes}};{{yes}};{{yes}};{{yes}};
Qt/QRegExp;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{No}};{{yes}};{{yes}};
R{{R|group=Note|r_regex}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{yes}};
RE2;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{No}};{{No}};{{No}};{{yes}};
Ruby;{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};{{yes}};
TRE;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{No}};{{No}};{{yes}};{{No}};
Vim {{Latest preview release/Vim}};{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{No}};
RGX;{{yes}};{{yes}};{{yes}};{{yes}};{{No}};{{yes}};{{yes}};{{yes}};{{yes}};
Tcl;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{yes}};{{yes}};{{yes}};
TRegExpr;{{yes}};{{dunno}};{{yes}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};{{dunno}};
XRegExp;{{yes}};{{yes}};{{yes}};{{yes}};{{no}};{{yes}};{{no}};{{yes}};{{yes}};
