;Temporary table;Materialized view;
4th Dimension;{{Yes}};{{no}};
ADABAS;{{dunno}};{{dunno}};
Adaptive Server Enterprise;{{yes}}1;{{yes}} - see precomputed result sets;
Advantage Database Server;{{yes}};{{no}} (only common views);
Altibase;{{yes}};{{no}} (only common views);
Apache Derby;{{yes}};{{no}};
ClustrixDB;{{yes}};{{no}};
CUBRID;{{no}};{{no}};
DB2;{{yes}};{{yes}};
Empress Embedded Database;{{yes}};{{yes}};
EXASolution;{{yes}};{{no}};
Firebird;{{yes}};{{no}} (only common views);
HSQLDB;{{yes}};{{no}};
H2;{{yes}};{{no}} (only common views);
Informix Dynamic Server;{{yes}};{{no}}2;
Ingres;{{yes}};{{no}};
InterBase;{{yes}};{{no}};
Linter SQL RDBMS;{{yes}};{{yes}};
LucidDB;{{no}};{{no}};
MariaDB;{{yes}};{{no}}4;
MaxDB;{{yes}};{{no}};
Microsoft Access (JET);{{no}};{{no}};
Microsoft Visual Foxpro;{{yes}};{{yes}};
Microsoft SQL Server;{{yes}};{{yes}};
Microsoft SQL Server Compact (Embedded Database);{{yes}};{{no}};
Mimer SQL;{{no}};{{no}};
MonetDB;{{yes}};{{no}};
MySQL;{{yes}};{{no}}4;
OpenBase SQL;{{yes}};{{yes}};
Oracle;{{yes}};{{yes}};
Oracle Rdb;{{yes}};{{yes}};
OpenLink Virtuoso;{{yes}};{{yes}};
Pervasive PSQL;{{yes}};{{no}};
Polyhedra DBMS;{{no}};{{no}} (only common views);
PostgreSQL;{{yes}};{{yes}}5;
Raima Database Manager;{{yes}};{{no}};
RDM Server;{{yes}};{{no}};
SAP HANA;{{yes}};{{dunno}};
solidDB;{{yes}};{{no}} (only common views);
SQL Anywhere;{{yes}};{{yes}};
SQLite;{{yes}};{{no}};
Teradata;{{yes}};{{yes}};
UniData;{{yes}};{{no}};
UniVerse;{{yes}};{{no}};
;Temporary table;Materialized view;
