Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);
GeForce 7025 + nForce 630a;July 2007;MCP68S;110;HyperTransport;425;266 400{{citation needed|date=September 2012}};2:1:2:2;850;850;850;106.25;Up to 256 system RAM;8.528 12.8{{citation needed|date=September 2012}};DDR2;128;
GeForce 7050PV + nForce 630a;July 2007;MCP67QV;110;HyperTransport;425;266 400{{citation needed|date=September 2012}};2:1:2:2;850;850;850;106.25;Up to 256 system RAM;8.528 12.8{{citation needed|date=September 2012}};DDR2;128;
GeForce 7050 + nForce 610i/630i;July 2007;MCP73;90;HyperTransport/FSB;500;333;2:1:2:2;1000;1000;1000;125;Up to 256 system RAM;5.336;DDR2;64;
GeForce 7100 + nForce 630i;July 2007;MCP76;90;FSB;600;400;2:1:2:2;1200;1200;1200;150;Up to 256 system RAM;6.4;DDR2;64;
GeForce 7150 + nForce 630i;July 2007;MCP76;90;FSB;630;400;2:1:2:2;1260;1260;1260;157.5;Up to 256 system RAM;6.4;DDR2;64;
GeForce 7100 GS;August 8, 2006;NV44;110;PCIe ×16;350;300 350;4:3:4:2;1400;700;1400;262.5;128 256;4.8 (300 MHz) 5.6 (350 MHz);DDR2;64;
GeForce 7200 GS;January 18, 2006;G72;90;AGP 8× PCIe ×16;450;333;2:2:4:2;900;450;900;225;128 256;5.328;DDR2;64;
GeForce 7300 SE;March 22, 2006;G72;90;PCIe ×16;450;333;4:3:4:2;1800;900;1800;337.5;128;5.328;DDR2;64;
GeForce 7300 LE;March 22, 2006;G72;90;PCIe ×16;350 450;333 350;4:3:4:2;1400 1800;700 900;1400 1800;262.5 337.5;128;5.328 5.6;DDR2;64;
GeForce 7300 GS;January 18, 2006;G72;90;AGP 8× PCIe ×16;550;400;4:3:4:2;2200;1100;2200;412.5;128 256;6.4;DDR2;64;
GeForce 7300 GT;May 15, 2006;G73;90;AGP 8× PCIe ×16;350;325;8:5:8:4;2800;1400;2800;437.5;128 256;10.4;DDR2;128;
GeForce 7500 LE;2006;G72;90;PCIe ×16;475 550;405;4:3:4:2;1900 2200;950 1100;1900 2200;356.3 412.5;64 128 256;6.48;DDR2;64;
GeForce 7600 GS;March 22, 2006 (PCIe) July 1, 2006 (AGP);G73;90;AGP 8× PCIe ×16;400;400;12:5:12:8;4800;3200;4800;500;256;12.8;DDR2;128;
GeForce 7600 GT;March 9, 2006 (PCIe) July 15, 2006 (AGP);G73;90;AGP 8× PCIe ×16;560;700;12:5:12:8;6720;4480;6720;700;256;22.4;GDDR3;128;
GeForce 7600 GT 80 nm;January 8, 2007;G73-B1;80;AGP 8× PCIe ×16;560;700;12:5:12:8;6720;4480;6720;700;256;22.4;GDDR3;128;
GeForce 7650 GS;March 22, 2006;G73;80;PCIe ×16;450;400;12:5:12:8;?;3600;5400;?;256;12.7;DDR2;128;
GeForce 7800 GS;February 2, 2006;G70;110;AGP 8×;375;600;16:8:16:8;6000;3000;6000;562.5;256;38.4;GDDR3;256;
GeForce 7800 GT;August 11, 2005;G70;110;PCIe ×16;400;500;20:7:20:16;8000;6400;8000;700;256;32;GDDR3;256;
GeForce 7800 GTX;June 22, 2005 (256 MB) November 14, 2005 (512 MB);G70;110;PCIe ×16;430 (256 MB) 550 (512 MB);600 (256 MB) 850 (512 MB);24:8:24:16;10320 (256 MB) 13200 (512 MB);6880 (256 MB) 8800 (512 MB);10320 (256 MB) 13200 (512 MB);860 (256 MB) 1100 (512 MB);256 512;38.4 (256 MB) 54.4 (512 MB);GDDR3;256;
GeForce 7900 GS;May 2006 (PCIe) April 2, 2007 (AGP);G71;90;AGP 8× PCIe ×16;450;660;20:7:20:16;9000;7200;9000;787.5;256;42.24;GDDR3;256;
GeForce 7900 GT;March 9, 2006;G71;90;PCIe ×16;450;660;24:8:24:16;10800;7200;10800;900;256;42.24;GDDR3;256;
GeForce 7900 GTO;October 1, 2006;G71;90;PCIe ×16;650;660;24:8:24:16;15600;10400;15600;1300;512;42.24;GDDR3;256;
GeForce 7900 GTX;March 9, 2006;G71;90;PCIe ×16;650;800;24:8:24:16;15600;10400;15600;1300;512;51.2;GDDR3;256;
GeForce 7900 GX2;March 9, 2006;2× G71;90;PCIe ×16;500;600;2× 24:8:24:16;24000;16000;24000;2000;2× 512;2x 38.4;GDDR3;256;
GeForce 7950 GT;September 6, 2006 (PCIe) April 2, 2007 (AGP);G71;90;AGP 8× PCIe ×16;550;700;24:8:24:16;13200;8800;13200;1100;512;44.8;GDDR3;256;
GeForce 7950 GX2;June 5, 2006;2× G71;90;PCIe ×16;500;600;2× 24:8:24:16;24000;16000;24000;2000;2× 512;2x 38.4;GDDR3;256;
Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);
