Model;Launch;Code name;Fab (nm);Transistors (million);Die size (mm2);Bus interface;Core config1;Clock rate;Fillrate;Memory;Supported API version;Processing power (GFLOPS)2;TDP (Watts);Comments;
Core (MHz);Shader (MHz);Memory (MHz);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;Single precision;
GeForce 9300 mGPU;October 2008;MCP7A-S;65;282;162;PCIe 2.0 ×16;16:8:4;450;1200;400 666;1.8;3.6;Up to 512 from system memory;6.4/12.8 10.664/21.328;DDR2 DDR3;64 128;10.0;2.1;57.6;{{unk}};based on 8400 GS;
GeForce 9400 mGPU;October 2008;MCP7A-U;65;282;162;16:8:4;580;1400;400 666;2.32;4.64;Up to 512 from system memory;6.4/12.8 10.664/21.328;DDR2 DDR3;64 128;10.0;2.1;67.2;12;based on 8400 GS;
GeForce 9300 GE[14];June 2008;G98;65;210;86;8:8:4;540;1300;500;2.16;4.32;256;8.0;DDR2;64;10.0;2.1;20.8;25;;
GeForce 9300 GS[14];June 2008;G98;65;210;86;8:8:4;567;1400;500;2.268;4.536;256;8.0;DDR2;64;10.0;2.1;22.4;25;;
GeForce 9400 GT;August 27, 2008;G96a G96b;65 55;314;144;PCIe 2.0 ×16 PCI;16:8:4;550;1400;400 800;2.2;4.4;256 512 1024;12.8 25.6;GDDR2 GDDR3;128;10.0;3.3;44.8;50;;
GeForce 9500 GT;July 29, 2008;G96-300-C1;65 55;314;144;32:16:8;550;1400;500 800;4.4;8.8;256 512 1024;16.0 25.6;DDR2 GDDR3;128;10.0;3.3;89.6;50;;
GeForce 9600 GS;July 29, 2008;G94a;65;505;240;48:24:12;500;1250;500;6;12;768;24.0;DDR2;192;10.0;3.3;120;{{unk}};OEM;
GeForce 9600 GSO;May 2008;G92;65;754;324;PCIe 2.0 ×16;96:48:12;550;1375;800;6.6;26.4;384 768 1536;38.4;GDDR3;192;10.0;2.1;264;84;;
GeForce 9600 GSO 512;October 2008;G94a G94b;65 55;505;240 196?{{citation needed|date=September 2012}};48:24:16;650;1625;900;10.4;15.6;512;57.6;GDDR3;256;10.0;3.3;156;90;;
GeForce 9600 GT Green Edition;2009;G94b;55;505;196?{{citation needed|date=September 2012}};64:32:16;600 625;1500 1625;700/900 900{{citation needed|date=September 2012}};9.6 10.0;19.2 20.0;512 1024;44.8/57.6 57.6{{citation needed|date=September 2012}};GDDR3;256;10.0;3.3;192 208;59;Core Voltage - 1 volt;
GeForce 9600 GT;February 21, 2008;G94-300-A1;65 55;505;240 196?{{citation needed|date=September 2012}};64:32:16;650;1625;900;10.4;20.8;512 1024;57.6;GDDR3;256;10.0;3.3;208;95;;
GeForce 9800 GT Green Edition;2009;G92a2 G92b;65 55;754;324 260;112:56:16;550;1375;700 800 900;8.8;30.8;512 1024;44.8 51.2 57.6;GDDR3;256;10.0;3.3;308;75;Core Voltage - 1 volt;
GeForce 9800 GT;July 2008;G92a G92b;65 55;754;324 260;112:56:16;600;1500;900;9.6;33.6;512 1024;57.6;GDDR3;256;10.0;3.3;336;125 105;;
GeForce 9800 GTX;April 1, 2008;G92;65;754;324;128:64:16;675;1688;1100;10.8;43.2;512;70.4;GDDR3;256;10.0;3.3;432;140;;
GeForce 9800 GTX+;July 16, 2008;G92b;55;754;260;128:64:16;738;1836;1100;11.808;47.232;512 1024;70.4;GDDR3;256;10.0;3.3;470;141;;
GeForce 9800 GX2;March 18, 2008;2× G92;65;2× 754;2× 324;2× 128:64:16;600;1500;1000;2× 9.6;2× 38.4;2× 512;2× 64.0;GDDR3;2× 256;10.0;3.3;2× 384;197;;
Model;Launch;Codename;Fab (nm);Transistors (million);Die size (mm2);Bus interface;Core config1;Core (MHz);Shader (MHz);Memory (MHz);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;Processing power (GFLOPS)2;TDP (Watts);Comments;
