Model;Launch;Code name (s);Fab (nm);Transistors (billion);Die size (mm2);Core config;Bus interface;Clock speeds;Fillrate;Memory;Latest supported API version;Processing power (GFLOPS)4;TDP (Watts);SLI support5;Release price (USD);Model;
CUDA cores{{efn|name=a}} (SM/SMP/ Streaming Multiprocessor);Base core clock (MHz);Boost core clock (MHz);Max Boost 3.0 (MHz) [51];Memory (MT/s);Pixel Base Core (Base Boost) (Max Boost 3.0) (GP/s)2;Texture Base Core (Base Boost) (Max Boost 3.0) (GT/s)3;Size (GiB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;OpenCL;Vulkan;CUDA;Single precision Base Core (Base Boost) (Max Boost 3.0);Double precision Base Core (Base Boost) (Max Boost 3.0);Half precision Base Core (Base Boost) (Max Boost 3.0)7;MSRP;Founders Edition;
GeForce GT 1030 [68][69];GeForce GT 1030 [68][69];March 12, 2018;GP108-310-A1;Samsung 14LPP;1.8;74;384:24:16 (3);PCIe 3.0 x4 [70][71][72];1152;1379;?;2100 (1050 MHz x 2);18.4 (22.0) (?);27.6 (33.0) (?);2;16.8;DDR4;64;12 (12_1);4.6;2.2;1.1.94 [20];6.1;884.7 (1059.0) (?);27.6 (33.0) (?);13.8 (16.5) (?);20;rowspan=13 {{No}};$79;rowspan=8 {{N/A}};
May 17, 2017;GP108-300-A1;1227;1468;1600;6008 (1502 MHz x 4);19.6 (23.4) (25.6);29.4 (35.2) (38.4);48.0;GDDR5;942.3 (1127.4) (1228.8);29.4 (35.2) (38.4);14.7 (17.6) (19.2);30;$70;
GeForce GTX[73] 1050;GeForce GTX[73] 1050;October 25, 2016;GP107-300-A1;3.3;132;640:40:32 (5);PCIe 3.0 x16;1354;1455;1800;7008 (1752 MHz x 4);43.3 (46.6) (57.6);54.1 (58.8) (72);112.1;128;1733.1 (1862.4) (2304.0);54.1 (58.2) (72.0);27.0 (29.1) (36.0);75;$109;
May 21, 2018;GP107-301-A1;768:48:24 (6);1392;1518;1900;33.4 (36.4) (45.6);66.8 (72.9) (91.2);3;84.1;96;2138.1 (2331.6) (2918.4);66.8 (72.9) (91.2);33.4 (36.4) (45.6);?;
GeForce GTX 1050 Ti[73];GeForce GTX 1050 Ti[73];October 25, 2016;GP107-400-A1;768:48:32 (6);1290;1392;41.2 (44.5) (60.8);61.9 (66.8) (91.2);4;112.1;128;1981.4 (2138.1) (2918.4);61.9 (66.8) (91.2);30.9 (33.4) (45.6);$139;
GeForce GTX[74] 1060[75] [76][77][78];GeForce GTX[74] 1060[79] [80][81][82];December 25, 2016;GP104-140-A1;TSMC 16FF;7.2;314;1152:72:48 (9);1506;1708;2000;8008 (2002 MHz x 4);72.2 (81.9) (96.0);108.4 (122.9) (144.0);3;192.1;192;3469.8 (3935.2) (4608.0);108.4 (122.9) (144.0);54.2 (61.4) (72.0);120;$199;
August 18, 2016;GP106-300-A1;4.4;200;
December 26, 2017;GP106-350-K3-A1;1280:80:40 (10);1709;60.2 (68.3) (80.0);120.4 (136.7) (160.0);5;160.2;160;3855.3 (4375.0) (5120.0);120.4 (136.7) (160.0);60.2 (68.3) (80.0);OEM;
March 8, 2018;GP104-150-A1;7.2;314;1280:80:48 (10);72.2 (82.0) (96.0);6;192.1;192;?;?;
July 19, 2016;GP106-400-A1 (Rev.1);4.4;200;$249;$299;
January 5, 2018;GP106-400-A1 (Rev.2);$299;?;
October 18, 2018;GP104-???-??;7.2;314;8008 (1001 MHz x 8);GDDR5X;?;
April 20, 2017;GP106-410-A1;4.4;200;9028 (2257 MHz x 4);216.6;GDDR5;$299;
GeForce GTX[83] 1070;GeForce GTX[83] 1070;June 10, 2016;GP104-200-A1;7.2;314;1920:120:64 (15);1683;1900;8008 (2002 MHz x 4);96.3 (107.7) (121.6);180.7 (201.9) (228.0);8;256.2;256;5783.0 (6462.7) (7296.0);180.7 (201.9) (228.0);90.3 (100.9) (114.0);150;4-way SLI or 2-way SLI HB [84][85];$379;$449 ($399)[86];
December 4, 2018;GP104-200-A1;8008 (1001 MHz x 8);GDDR5X;?;?;
GeForce GTX[87] 1070 Ti;GeForce GTX[87] 1070 Ti;November 2, 2017;GP104-300-A1;2432:152:64 (19);1607;?;8008 (2002 MHz x 4);102.8 (107.7) (?);244 (256) (?);GDDR5;7816.4 (8186.1) (?);244.2 (255.8) (?);122.1 (127.9) (?);180;$449;$449;
GeForce GTX[88] 1080;GeForce GTX[88] 1080;May 27, 2016;GP104-400-A1;2560:160:64 (20);1733;1800;10008 (1251 MHz x 8);102.8 (110.9) (115.2);257.1 (277.2) (288.0);320.2;GDDR5X;8227.8 (8872.9) (9216.0);257.1 (277.2) (288.0);128.5 (138.6) (144.0);$599 ($499)[86];$699 ($549)[86];
April 20, 2017;GP104-410-A1;11008 (1376 MHz x 8);352.2;
