Model;Launch;Code name;Fab (nm);Bus interface;Core config1;Clock speed;Fillrate;Memory;Supported API version;Processing power (GFLOPS)2;TDP (Watts);
Core (MHz);Shader (MHz);Memory (MHz);Pixel (GP/s);Texture (GT/s);Size (MB);Bandwidth (GB/s);Bus type;Bus width (bit);Direct3D;OpenGL;
GeForce 305M;January 10, 2010;GT218;40;PCIe 2.0 ×16;16:8:4;525;1150;1400;2.1;4.2;512;11.2;DDR3 GDDR3;64;10.1;3.3;55;14;
GeForce 310M;January 10, 2010;GT218;40;PCIe 2.0 ×16;16:8:4;625;1530;1600;2.5;5;512;12.8;DDR3 GDDR3;64;10.1;3.3;73;14;
GeForce 315M;January 5, 2011;GT218;40;PCIe 2.0 ×16;16:8:4;606;1212;1600;2.42;4.85;512;12.8;DDR3 GDDR3;64;10.1;3.3;58.18;14;
GeForce 320M;April 1, 2010;MCP89;40;Integrated PCIe 2.0 ×16;48:16:8;450;950;1066;3.6;7.2;256 (shared w/ system memory) [111];17.056;DDR3;128;10.1;3.3;136.8;20;
GeForce GT 320M;January 21, 2010;GT216;40;PCIe 2.0 ×16;24:8:8;500;1100;1580;4;4;1024;25.3;DDR3 GDDR3;128;10.1;3.3;90;14;
GeForce GT 325M;January 10, 2010;GT216;40;PCIe 2.0 ×16;48:16:8;450;990;1600;3.6;7.2;1024;25.6;DDR3 GDDR3;128;10.1;3.3;142;23;
GeForce GT 330M;January 10, 2010;GT216;40;PCIe 2.0 ×16;48:16:8;575;1265;1600;4.6;9.2;1024;25.6;DDR3 GDDR3;128;10.1;3.3;182;23;
GeForce GT 335M;January 7, 2010;GT215;40;PCIe 2.0 ×16;72:24:8;450;1080;1600;3.6;10.8;1024;25.6;DDR3 GDDR3;128;10.1;3.3;233 (real 155.5);28?;
GeForce GTS 350M;January 7, 2010;GT215;40;PCIe 2.0 ×16;96:32:8;500;1249;3200;4;16;1024;51.2;DDR3 GDDR3 GDDR5;128;10.1;3.3;360;28;
GeForce GTS 360M;January 7, 2010;GT215;40;PCIe 2.0 ×16;96:32:8;550;1436;3600;4.4;17.6;1024;57.6;DDR3 GDDR3 GDDR5;128;10.1;3.3;413;38;
