Model;Features;
OpenEXR HDR;Scalable Link Interface (SLI);TurboCache;PureVideo WMV9 Decoding;
GeForce 6100;{{no}};{{no}};{{no}};{{Partial|Limited}};
GeForce 6150 SE;{{no}};{{no}};{{Partial|Driver-Side Only}};{{Partial|Limited}};
GeForce 6150;{{no}};{{no}};{{no}};{{yes}};
GeForce 6150 LE;{{no}};{{no}};{{Partial|Driver-Side Only}};{{yes}};
GeForce 6200;{{no}};{{no}};{{yes2}} Yes (PCIe only);{{yes}};
GeForce 6500;{{no}};{{yes}};{{yes}};{{yes}};
GeForce 6600 LE;{{yes}};{{yes2}} Yes (No SLI Connector);{{no}};{{yes}};
GeForce 6600;{{yes}};{{yes2}} Yes (SLI Connector or PCIe Interface);{{no}};{{yes}};
GeForce 6600 DDR2;{{yes}};{{yes2}} Yes (SLI Connector or PCIe Interface);{{no}};{{yes}};
GeForce 6600 GT;{{yes}};{{yes}};{{no}};{{yes}};
GeForce 6800 LE;{{yes}};{{no}};{{no}};{{no}};
GeForce 6800 XT;{{yes}};{{yes2}} Yes (PCIe only);{{no}};{{yes2}} Yes (NV42 only);
GeForce 6800;{{yes}};{{yes2}} Yes (PCIe only);{{no}};{{yes2}} Yes (NV41, NV42 only);
GeForce 6800 GTO;{{yes}};{{yes}};{{no}};{{no}};
GeForce 6800 GS;{{yes}};{{yes2}} Yes (PCIe only);{{no}};{{yes2}} Yes (NV42 only);
GeForce 6800 GT;{{yes}};{{yes2}} Yes (PCIe only);{{no}};{{no}};
GeForce 6800 Ultra;{{yes}};{{yes2}} Yes (PCIe only);{{no}};{{no}};
